Type,Variable,Description,Abbreviation,PolicyObjective,IssueCategory,Units,RawPolarity,RAW Processing Script,Data available?,Calculation required,RawFileExists,Aggregate,Normalization,Transformation,Alpha,Target_Good,Target_Bad,Materiality,Oldyear,Source,Notes
Indicator,Species Habitat Index,Species Habitat Index,SHI,Ecosystem,Biodiversity,%,positive,,yes,,yes,drop,none,none,,100,5%,,2013,MOL,
Indicator,Species Protection Index,Species Protection Index,SPI,Ecosystem,Biodiversity,%,positive,~/Source/MOL/SPI_raw.R,yes,,yes,drop,none,none,,100,0,,2015,MOL,
Indicator,Protected Area Effectiveness,Percentage of protected areas where the cropland and built environment is growing more than 0.5% per year,PAE,Ecosystem,Biodiversity,proportion,positive,,yes,,yes,drop,none,none,,100,5%,,2022,Dynamic World,
Indicator,Protected Human Area,Percentage of protected area NOT covered by cropland and buildings,PHL,Ecosystem,Biodiversity,proportion,positive,,yes,,yes,drop,none,none,,100,5%,,2022,Dynamic World,
Indicator,Terrestrial Biome Protection _ National weights,Terrestrial Biome Protection - National weights,TBN,Ecosystem,Biodiversity,%,positive,~/Source/CIESIN/01_TBN_raw.R,yes,,yes,drop,none,none,,30,0,,2014,WDPA,
Indicator,Terrestrial KBA Protection,Percentage of Terrestrial Key Biodiversity Areas covered by protected areas,TKP,Ecosystem,Biodiversity,%,positive,~/Source/CIESIN/01_TKP_raw.R,yes,,yes,drop,none,none,,100,0,,2015,KBA/WDPA,
Indicator,Red List Index,Red List Index,RLI,Ecosystem,Biodiversity,proportion,positive,~/Source/IUCN/01_RLI_cleanup.R,yes,,yes,drop,none,none,,1,5%,,2015,IUCN,
Indicator,Primary forest loss,5-year moving average of the percentage of primary forest lost relative to a baseline in 2001,PFL,Ecosystem,EcoSvcs,proportion,negative,~/Source/GFW/01_PFL.R,yes,,yes,drop,none,log,1.00E-03,0,99%,,2013,GFW,
Indicator,Intact forest landscape loss,5-year moving average of the percentage of intact forest landscape lost relative to a baseline in 2001,IFL,Ecosystem,EcoSvcs,proportion,negative,~/Source/GFW/02_IFL.R,yes,,yes,drop,none,log,1.00E-04,0,99%,,2013,GFW,
Indicator,"Tree cover loss, %",Total tree cover loss (min. 30% canopy cover) weighted by the permancency of the loss,FCL,Ecosystem,EcoSvcs,proportion,negative,~/Source/GFW/03_PPD.R,yes, = TC5 / (5_TCA),yes,drop,none,log,1.00E-03,0,99%,,2013,GFW,
Indicator,Net tree cover change,"Percent of net change in tree cover between 2000 and 2020, including both losses and gains",TCG,Ecosystem,EcoSvcs,%,positive,~/Source/GFW/01_TCG.R,yes,,yes,sum,none,none,,10,-10,,2013,GFW,
Indicator,Forest Landscape Integrity,Mean value of the Forest Landscape Integrity Index across a country's territory,FLI,Ecosystem,EcoSvcs,%,positive,~Source/FLII/01_FLI_raw.R,yes,,yes,drop,none,none,,100,0,,2020,FLII,
Indicator,Fish Stock Status,Proportion of fish stocks that are Collapsed or Over-exploited,FSS,Ecosystem,Fisheries,percentage,negative,~/Source/SAU/02_FSS_raw.R,yes,imp51,yes,drop,none,log,1.00E-01,0,99%,SEA,2010,SAU,
Indicator,Fish Catch Discarded,Proportion of total catch that is discarded instead of used,FCD,Ecosystem,Fisheries,proportion,negative,~/Source/SAU/02_FCD_raw.R,yes,,yes,drop,none,log,1.00E-02,0,99%,SEA,2010,SAU,
Indicator,Bottom Trawling in Country's EEZ,Proportion of fish caught by a country's EEZ by all fishing entities using bottom trawling or dredging,BTZ,Ecosystem,Fisheries,proportion,negative,~/Source/SAU/02_BTZ_raw.R,yes,,yes,drop,none,log,1.00E-01,0,99%,SEA,2010,SAU,
Indicator,Bottom Trawling in Global Ocean,Proportion of fish caught by a given country using bottom trawling or dredging across global ocean,BTO,Ecosystem,Fisheries,proportion,negative,~/Source/SAU/02_BTO_raw.R,yes,imp51,yes,drop,none,log,1.00E-01,0,99%,SEA,2010,SAU,
Indicator,Regional Marine Trophic Index,Proportion of the peak rMTI value in the time series,RMS,Ecosystem,Fisheries,proportion,positive,~/Source/SAU/02_RMS_raw.R,yes,imp51,yes,drop,none,none,,0.015,-0.015,SEA,2010,SAU,
Indicator,Wastewater produced per capita,Wastewater produced per capita,WWG,Ecosystem,WaterResources,m3 per year per person,negative,~/Source/WasteWater/01_combine_sources.R,yes,,yes,drop,none,log,,5%,95%,,2015,"Jones et al 2020, UNSD",
Indicator,Wastewater collected,Proportion of wastewater collected,WWC,Ecosystem,WaterResources,proportion,positive,~/Source/WasteWater/01_combine_sources.R,yes,,yes,drop,none,none,,1,0,,2015,"Jones et al 2020, UNSD, Eurostat, OECD",
Indicator,Wastewater treatment ,Proportion of wastewater treated,WWT,Ecosystem,WaterResources,proportion,positive,~/Source/WasteWater/01_combine_sources.R,yes,,yes,drop,none,none,,1,0,,2015,"Jones et al 2020, UNSD, OECD",
Indicator,Wastewater reuse,Proportion of reused wastewater,WWR,Ecosystem,WaterResources,proportion,positive,~/Source/WasteWater/01_combine_sources.R,yes,,yes,drop,none,none,,1,0,,2015,Jones et al 2020,
Indicator,Carbon Monoxide Exposure,Population-weighted country average CO exposure,COE,Health,AirQuality,ppm,negative,~/Source/Copernicus ADS/02_COE.R,yes,,yes,drop,none,log,,1%,99%,,2013,Copernicus,
Indicator,Household air pollution from solid fuels DALYs,Health burden from exposure to household air pollution from solid fuels,HFD,Health,AirQuality,Age-standardized DALYs/100k people,negative,~/Source/IHME/01_DALYs_raw.R,yes,,yes,drop,none,log,,0.05,10000,,2012,IHME,
Indicator,Household air pollution from solid fuels,Proportion of a country's population that uses household solid fuels,HFX,Health,AirQuality,proportion,negative,~/Source/IHME/01_HFX_raw.R,yes,,yes,drop,none,log,,5%,99%,,2012,IHME,
Indicator,NO2 Exposure DALYs,Health burden from NO2 exposure,NOD,Health,AirQuality,Age-standardized DALYs/100k people,negative,~/Source/IHME/01_DALYs_raw.R,yes,,yes,drop,none,log,,5%,99%,,2012,IHME,
Indicator,Nitrogen Oxides Exposure,Population-weighted country average NOx exposure,NOE,Health,AirQuality,ppm,negative,~/Source/Copernicus ADS/02_NOE.R,yes,,yes,drop,none,log,0,5%,95%,,2013,Copernicus,
Indicator,Ozone Exposure DALYs,Health burden from ozone exposure,OZD,Health,AirQuality,Age-standardized DALYs/100k people,negative,~/Source/IHME/01_DALYs_raw.R,yes,,yes,drop,none,log,,1,250,,2010,IHME,
Indicator,Ozone Exposure,Population-weighted country average ozone exposure,OZE,Health,AirQuality,ppm,negative,~/Source/Copernicus ADS/02_OZE.R,yes,,yes,drop,none,log,,5%,99%,,2013,IHME,
Indicator,Ambient anthropogenic particulate matter pollution exposure,Population-weighted country average fine particulate matter exposure from anthropogenic sources,HPE,Health,AirQuality,ug/m3,negative,~/Source/WUSTL/01_PME_raw.R,yes,,yes,drop,none,log,,2.5,95%,,2013,WUSTL,
Indicator,Sulfur Dioxide Exposure,Population-weighted country average SO2 exposure,SOE,Health,AirQuality,ppm,negative,~/Source/Copernicus ADS/02_SOE.R,yes,,yes,drop,none,log,0,5%,95%,,2013,Copernicus,
Indicator,Volatile Organic Compound Exposure,Population-weighted country average VOC exposure,VOE,Health,AirQuality,ppm,negative,~/Source/Copernicus ADS/02_VOE.R,yes,,yes,drop,none,log,,5%,95%,,2013,Copernicus,
Indicator,Lead Exposure DALYs,Lead Exposure Health Burden,LED,Health,HeavyMetals,Age-standardized DALYs/100k people,negative,~/Source/IHME/01_LEX_raw.R,yes,,yes,drop,none,log,,1%,99%,,2012,IHME,
Indicator,Lead Exposure,Lead Exposure ,LEX,Health,HeavyMetals,micrograms (ug) of lead per decilitier (dL) of blood,negative,~/Source/IHME/01_LEX_raw.R,yes,,yes,drop,none,log,,1%,99%,,2012,IHME,
Indicator,Waste Per Capita,Municipal solid waste generated divided by population,WPC,Health,WasteManagement,tonns/person,negative,~/Source/Solid Waste/scripts/07_indicator_construction.R,yes,,yes,drop,none,log,0,1%,99%,,2016,Various,
Indicator,Waste recovery rate,"Rate of recovery of energy of materials from waste (proportion composted, recycled, or incinerated with energy recovery_",WRR,Health,WasteManagement,proportion,positive,~/Source/Solid Waste/scripts/07_indicator_construction.R,yes,,yes,drop,none,none,,1,0,,2016,Various,
Indicator,Sustainably controlled solid waste,Proportion of solid waste managed in a way that mitigates environmental impacts,SMW,Health,WasteManagement,proportion,positive,~/Source/Solid Waste/scripts/07_indicator_construction.R,yes,,yes,drop,none,none,,1,0,,2016,Various,
Indicator,Unsafe sanitation health burden,Unsafe Sanitation [DALYs],USD,Health,WaterQuality,Age-standardized DALYs/100k people,negative,~/Source/IHME/01_DALYs_raw.R,yes,,yes,drop,none,log,,1%,99%,,2012,IHME,
Indicator,Unsafe drinking water health burden,Unsafe Water [DALYs],UWD,Health,WaterQuality,Age-standardized DALYs/100k people,negative,~/Source/IHME/01_DALYs_raw.R,yes,,yes,drop,none,log,,1%,99%,,2012,IHME,
Indicator,Unsafe sanitation ,Unsafe Sanitation [exposure],USX,Health,WaterQuality,proportion,negative,~/Source/IHME/01_USX_raw.R,yes,,yes,drop,none,log,,5%,95%,,2012,IHME,
Indicator,Unsafe drinking water,Unsafe Water [exposure],UWX,Health,WaterQuality,unitless,negative,~/Source/IHME/01_UWX_raw.R,yes,,yes,drop,none,log,,5%,95%,,2012,IHME,
Indicator,CO2 intensity trend,"CO2 intensity trend, 10 years",CDA,Climate,Climate,proportion,negative,~/Source/PIK/01_adjusted_emission_trends_raw.R,yes,,yes,none,none,none,,-0.13,0.13,,2013,GCP,
Indicator,CO2 intensity trend with country specific targets,"CO2 intensity trend, 10 years, with country specific targets determined by their fair share of the remaining carbon budget",CDF,Climate,Climate,indicator,positive,~/Source/PIK/02_CDF_raw.R,yes,,yes,none,none,none,,100,0,,2013,GCP,
Indicator,Methane intensity trend,"Methane intensity trend, 10 years",CHA,Climate,Climate,proportion,negative,~/Source/PIK/01_adjusted_emission_trends_raw.R,yes,,yes,none,none,none,,-0.05,0.05,,2013,PIK,
Indicator,F-gasses intensity trend,"F-gasses intensity trend, 10 years",FGA,Climate,Climate,proportion,negative,~/Source/PIK/01_adjusted_emission_trends_raw.R,yes,,yes,none,none,none,,-0.12,0.12,,2013,PIK,
Indicator,N2O intensity trend,"N2O intensity trend, 10 years",NDA,Climate,Climate,proportion,negative,~/Source/PIK/01_adjusted_emission_trends_raw.R,yes,,yes,none,none,none,,-0.05,0.05,,2013,PIK,
Indicator,Black Carbon intensity trend,"Black Carbon intensity trend, 10 years",BCA,Climate,Climate,proportion,negative,~/Source/CEDS/01_BC_raw.R,yes,,yes,none,none,none,,-0.05,0.05,,2013,CEDS,
Indicator,GHG  by 2050,Projected GHG emissions by 2050,GHN,Climate,Climate,Gg CO2-eq.,negative,~/Source/PIK/03_GHN_raw.R,yes,,yes,none,none,log,1,0,95%,,2013,PIK,
Indicator,Greenhouse gas emission intensity,GHG /GDP,GHI,Climate,Climate,Gg / $,negative,~\Source\PIK\GHG_raw.R,yes,,yes,none,none,log,1.00E-07,0,99%,,2013,PIK,
Indicator,GHG emissions per capita,GHG emissions per capita,GHP,Climate,Climate,Gg CO2-eq./person,negative,~/Source/PIK/02_GHG_raw.R,yes,,yes,drop,none,log,9.00E-04,0,99%,,2013,PIK,
Indicator,GHG emissions per capita trend,GHG emissions per capita growth rate over last decade,GHA,Climate,Climate,proportion,negative,,yes,,yes,none,none,none,,-0.1,0.1,,2013,PIK,
Indicator,Land Cover Carbon Flux,Net flux of carbon from LULCF over the last decade divided by country's forest area in 2000,LUF,Climate,Climate,Gg CO2/ha forest,negative,~/Source/Global Carbon Budget/,yes,,yes,none,none,none,,-0.5,0.5,,2013,GCP,
Indicator,GHG trend adjusted by intensity,GHG growth rate adjusted by proximity to GHG intensity target,GTI,Climate,Climate,unitless,positive,~/Source/PIK/04_Curve_adjustment.R,yes,,yes,none,none,none,,100,0,,2013,GCP/PIK,
Indicator,GHG trend adjusted by per capita emissions,GHG growth rate adjusted by proximity to GHG per capita target,GTP,Climate,Climate,unitless,positive,~/Source/PIK/04_Curve_adjustment.R,yes,,yes,none,none,none,,100,0,,2013,GCP/PIK,
Indicator,Projected use of remaining carbon budget,Projected cumulative GHG emissions up to 2050 relative to countries' fair share of the carbon budget,CBP,Climate,Climate,proportion,negative,~/Source/PIK/04_GHN_raw.R,yes,,yes,none,none,none,,1,10,,2022,GCP/PIK,
Precursor,Coastlines,Country Coastline Length km,CST,Ecosystem,WasteManagement,km,positive,~Source/Misc/CST_raw.R,no,,no,sum,none,none,,,,,,CIA Factbook,
Precursor,Phosphorus inputs,Phosphorus total inputs,PTI,Ecosystem,Agriculture,kg/ha,,~/Source/FAOSTAT/PTI_raw.R,yes,,yes,drop,none,none,,,,,,FAOSTAT,
Precursor,Phosphorus Yield,Phosphorus Crop Removal,PCR,Ecosystem,Agriculture,kg/ha,,~/Source/FAOSTAT/PCR_raw.R,yes,,yes,drop,none,none,,,,,,FAOSTAT,
Precursor,Nitrogen inputs,Nitrogen total inputs,NTI,Ecosystem,Agriculture,kg/ha,,~/Source/FAOSTAT/NTI_raw.R,yes,,yes,drop,none,none,,,,,,FAOSTAT,
Precursor,Nitrogen Yield,Nitrogen Crop Removal,NCR,Ecosystem,Agriculture,kg/ha,,~/Source/FAOSTAT/NCR_raw.R,yes,,yes,drop,none,none,,,,,,FAOSTAT,
Precursor,"Primary forest loss, 5-year","Primary forest loss, 5-year",PF5,Ecosystem,EcoSvcs,ha,,~\Source\GFW\01_PFL.R,yes,,yes,drop,none,log,,,,,,GFW,
Precursor,Primary forest area,Primary forest area,PFA,Ecosystem,EcoSvcs,ha,,~\Source\GFW\01_PFL.R,yes,,yes,sum,none,log,,,,,,GFW,
Precursor,"Primary forest  loss, annual","Primary forest loss, annual",PFC,Ecosystem,EcoSvcs,ha,,~\Source\GFW\01_PFL.R,yes,,yes,sum,none,log,,,,,,GFW,
Precursor,"Intact forest landscape loss, 5-year","Intact forest landscape loss, 5-year",IF5,Ecosystem,EcoSvcs,ha,,~\Source\GFW\01_IFL.R,yes,,yes,drop,none,log,,,,,,GFW,
Precursor,Intact forest landscape area,Intact forest landscape area,IFA,Ecosystem,EcoSvcs,ha,,~\Source\GFW\01_IFL.R,yes,,yes,sum,none,log,,,,,,GFW,
Precursor,"Intact forest landscape loss, annual","Intact forest landscape loss, annual",IFC,Ecosystem,EcoSvcs,ha,,~\Source\GFW\01_IFL.R,yes,,yes,sum,none,log,,,,,,GFW,
Precursor,"Tree cover loss, 5-year","Tree cover loss, 5-year (30% canopy cover)",TC5,Ecosystem,EcoSvcs,ha,,~\Source\GFW\01_TCL.R,yes,,yes,drop,none,log,1,,,,,GFW,
