Type,Variable,Description,Abbreviation,PolicyObjective,IssueCategory,Units,RawPolarity,RAW Processing Script,Data available?,Calculation required,RawFileExists,Aggregate,Normalization,Transformation,Alpha,Target_Good,Target_Bad,Materiality,Oldyear,Source,Notes
Precursor,Composting,Municipal Solid Waste Composted,COM,Health,WasteManagement,tonnes,,,yes,,no,sum,none,none,,,,,,,
Precursor,Recycling,Municipal Solid Waste Recycled,WRE,Health,WasteManagement,tonnes,,,yes,,no,sum,none,none,,,,,,,
Precursor,Municipal Solid Waste Collection,Percentage of population served by municipal waste collection ,PWC,Health,WasteManagement,%,,,yes,,no,drop,none,none,,,,,,,
Precursor,Ambient particulate matter pollution DALYs,DALY rates from exposure to ambient fine particulate matter exposure (PM2.5),PMD,Health,AirQuality,Age-standardized DALYs/100k people,negative,~/Source/WUSTL/01_PME_raw.R,yes,,yes,drop,none,none,,,,,2010,IHME,
Precursor,Ambient particulate matter pollution exposure,Population-weighted country average fine particulate matter exposure,PME,Health,AirQuality,ug/m3,negative,~/Source/WUSTL/01_PME_raw.R,yes,,yes,drop,none,none,,,,,2013,WUSTL,
Precursor,NOx intensity trend,"NOx intensity trend, 10 years",NXB,Ecosystem,AirPollution,unitless,negative,~\Source\CEDS\CEDS_raw.R,yes,,no,none,none,none,,5%,95%,,2004,CEDS,
Precursor,SO2 intensity trend,"SO2 intensity trend, 10 years",SDB,Ecosystem,AirPollution,unitless,negative,~\Source\CEDS\CEDS_raw.R,yes,,no,none,none,none,,5%,95%,,2004,CEDS,
Precursor,Black Carbon intensity trend,"Black Carbon intensity trend, 10 years",BCB,Climate,Climate,unitless,negative,~\Source\CEDS\CEDS_raw.R,yes,,no,none,none,none,,5%,95%,,2004,CEDS,
Precursor,CO2 intensity trend,"CO2 intensity trend, 10 years",CDB,Climate,Climate,unitless,negative,~\Source\PIK\PIK_raw.R,yes,,no,none,none,none,,5%,95%,,2007,PIK,
Precursor,Methane intensity trend,"Methane intensity trend, 10 years",CHB,Climate,Climate,unitless,negative,~\Source\PIK\PIK_raw.R,yes,,no,none,none,none,,5%,95%,,2007,PIK,
Precursor,F-gasses intensity trend,"F-gasses intensity trend, 10 years",FGB,Climate,Climate,unitless,negative,~\Source\PIK\PIK_raw.R,yes,,no,none,none,none,,5%,95%,,2007,PIK,
Precursor,N2O intensity trend,"N2O intensity trend, 10 years",NDB,Climate,Climate,unitless,negative,~\Source\PIK\PIK_raw.R,yes,,no,none,none,none,,5%,95%,,2007,PIK,
Precursor,CO2 flux from land use,CO2 net flux (including emissions and sinks) from land use and land use change,LUE,Climate,Climate,GgC,negative,~\Source\Global Carbon Bugdet\01_LUE_cleanup.R,yes,,no,sum,none,none,,,,,,GCP,
Precursor,Methane per Capita,Methane emissions [Gg] per Capita,CHP,Ecosystem,Climate,Gg/person,negative,~\Source\PIK\PIK_raw.R,yes,,yes,none,POP,log,,1%,99%,,,PIK,
Precursor,F-gasses per Capita,F-gasses emissions [Gg CO2-eq.] per Capita,FGP,Ecosystem,Climate,Gg CO2-eq./person,negative,~\Source\PIK\PIK_raw.R,yes,,yes,none,POP,log,,1%,99%,,,PIK,
Precursor,N2O per Capita,N2O emissions [Gg] per Capita,NDP,Ecosystem,Climate,Gg/person,negative,~\Source\PIK\PIK_raw.R,yes,,yes,none,POP,log,,1%,99%,,,PIK,
Precursor,CO2 per Capita,CO2 emissions [Gg] per Capita,CDP,Ecosystem,Climate,Gg/person,negative,~\Source\PIK\PIK_raw.R,yes,,yes,none,POP,log,,1%,99%,,,PIK,
Precursor,Methane per GDP,"Methane emissions [Gg] per GDP [PPP, constant 2017 international]",CHG,Ecosystem,Climate,Gg/constant 2017 international,negative,~\Source\PIK\PIK_raw.R,yes,,yes,none,GDP,log,,1%,99%,,,PIK,
Precursor,F-gasses per GDP,"F-gasses emissions [Gg CO2-eq.] per GDP [PPP, constant 2017 international]",FGG,Ecosystem,Climate,Gg/constant 2017 international,negative,~\Source\PIK\PIK_raw.R,yes,,yes,none,GDP,log,,1%,99%,,,PIK,
Precursor,N2O per GDP,"N2O emissions [Gg] per GDP [PPP, constant 2017 international]",NDG,Ecosystem,Climate,Gg CO2-eq./constant 2017 international,negative,~\Source\PIK\PIK_raw.R,yes,,yes,none,GDP,log,,1%,99%,,,PIK,
Precursor,CO2 per GDP,"CO2 emissions [Gg] per GDP [PPP, constant 2017 international]",CDG,Ecosystem,Climate,Gg/constant 2017 international,negative,~\Source\PIK\PIK_raw.R,yes,,yes,none,GDP,log,,1%,99%,,,PIK,
Precursor,Black Carbon per Capita,Black Carbon emissions [Gg] per Capita,BCP,Ecosystem,Climate,Gg/person,negative,~\Source\CEDS\BC_raw.R,yes,,yes,none,POP,log,,1%,99%,,,PIK,
Precursor,Black Carbon per GDP,"Black Carbon emissions [Gg] per GDP [PPP, constant 2017 international]",BCG,Ecosystem,Climate,Gg/constant 2017 international,negative,~\Source\CEDS\BC_raw.R,yes,,yes,none,GDP,log,,1%,99%,,,PIK,
