"code","iso","country","WDD.raw.2001","WDD.raw.2002","WDD.raw.2003","WDD.raw.2004","WDD.raw.2005","WDD.raw.2006","WDD.raw.2007","WDD.raw.2008","WDD.raw.2009","WDD.raw.2010","WDD.raw.2011","WDD.raw.2012","WDD.raw.2013","WDD.raw.2014","WDD.raw.2015","WDD.raw.2016","WDD.raw.2017","WDD.raw.2018","WDD.raw.2019","WDD.raw.2020","WDD.raw.2021","WDD.raw.2022"
4,"AFG","Afghanistan",0.85650872032726,0.894215163831143,0.776205903076613,0.67533511574446,0.793585705843505,0.727206318969535,0.722512898530528,0.728286711364943,0.832328075137487,0.716038770598489,0.87398218690562,0.879341717852578,0.944300485585775,0.941232638283613,NA,NA,NA,0.561174136346372,0.808987832594424,0.77691842845391,0.618718884082094,0.615987759266971
8,"ALB","Albania",0.519656782355311,0.525575536894324,0.536863869750895,0.51340812979081,0.525584183114728,0.512916358687862,0.507342492032411,0.507126759163748,0.516791644168484,0.52385834549564,0.512092117449299,0.509571303111187,0.508253884322856,0.540060626654233,0.528556074758137,0.538868963954078,0.515652423299575,0.514046726549295,0.52708364217344,0.51238735237399,0.513680132682802,0.51109763351118
12,"DZA","Algeria",0.778184807537805,0.742346420679496,0.731369783933397,0.740634944054184,0.720724499985859,0.738361704747521,0.733968769240035,0.738336199425963,0.732514987819197,0.71898995345379,0.73560196355707,0.727425442284149,0.714117026264529,0.661714020986024,0.7049804452272,0.70255004349711,0.65719645861981,0.733825285622729,0.700800504386121,0.684277217158516,0.693296912417174,0.619706872760981
20,"AND","Andorra",0.810139130018683,0.704291414150578,0.833292196400913,0.790234510120959,0.666538184709424,0.517195755239812,0.631408011756924,0.592362651436058,0.589914781604097,0.631570878112274,0.5,0.7073346364539,0.779582155022952,0.708214664406679,0.5,0.54542456212688,0.574964236623185,0.61681093161325,0.968078033023251,0.678350833450957,0.666645895589482,0.835123683171464
24,"AGO","Angola",0.757220384890206,0.760857040671836,0.758376367934435,0.755214067836004,0.754906217230504,0.756086817373274,0.752267266266038,0.751883511205646,0.751848008626309,0.754032953526296,0.752103712404571,0.751614949637665,0.756777589137852,0.758266682964069,0.754742101856656,0.750003860219274,0.751460943772613,0.749423429722588,0.748749921604313,0.74957886603768,0.749302621643463,0.749514461866712
660,"AIA","Anguilla",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,NA,1,1,1
28,"ATG","Antigua and Barbuda",0.785933220738176,0.762505440217754,0.769401345420936,0.837464653756893,0.756621235262157,0.813499526600034,0.79012735440319,0.78061037386232,0.76196749830089,0.795193060681167,0.767813673836125,0.784228973231649,0.800860666240193,0.777379545417118,0.764464932067816,0.761462160701714,0.757163751982647,0.766907516378298,0.757077245379427,0.822422247495601,0.785246364179758,0.786008185929629
32,"ARG","Argentina",0.779358100094827,0.768574083041198,0.822464216013354,0.843644451755914,0.830700445343863,0.795507017788871,0.837632310266546,0.836368947158527,0.82729156967083,0.848397239104389,0.867003619212877,0.841978715797932,0.81270101896313,0.818452314015803,0.810153774329849,0.802221981563508,0.800435828745928,0.824660960197249,0.81440669988268,0.811822918709884,0.80400248381775,0.823205496797162
51,"ARM","Armenia",0.798028735980796,0.801020593860349,0.777494242888477,0.764035409170032,0.679104576258077,0.780527799159945,0.86389998621034,0.751527915158217,0.723506732400493,0.745559550071041,0.719851602431805,0.708326099557177,0.827698310257585,0.696101865205097,0.662618940545384,0.934686387604818,0.930055861286274,0.80212699480103,0.958572655701702,0.882013298310239,0.68271404114968,0.844907380526868
533,"ABW","Aruba",NA,1,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
