"code","iso","country","GIN.raw.1960","GIN.raw.1961","GIN.raw.1962","GIN.raw.1963","GIN.raw.1964","GIN.raw.1965","GIN.raw.1966","GIN.raw.1967","GIN.raw.1968","GIN.raw.1969","GIN.raw.1970","GIN.raw.1971","GIN.raw.1972","GIN.raw.1973","GIN.raw.1974","GIN.raw.1975","GIN.raw.1976","GIN.raw.1977","GIN.raw.1978","GIN.raw.1979","GIN.raw.1980","GIN.raw.1981","GIN.raw.1982","GIN.raw.1983","GIN.raw.1984","GIN.raw.1985","GIN.raw.1986","GIN.raw.1987","GIN.raw.1988","GIN.raw.1989","GIN.raw.1990","GIN.raw.1991","GIN.raw.1992","GIN.raw.1993","GIN.raw.1994","GIN.raw.1995","GIN.raw.1996","GIN.raw.1997","GIN.raw.1998","GIN.raw.1999","GIN.raw.2000","GIN.raw.2001","GIN.raw.2002","GIN.raw.2003","GIN.raw.2004","GIN.raw.2005","GIN.raw.2006","GIN.raw.2007","GIN.raw.2008","GIN.raw.2009","GIN.raw.2010","GIN.raw.2011","GIN.raw.2012","GIN.raw.2013","GIN.raw.2014","GIN.raw.2015","GIN.raw.2016","GIN.raw.2017","GIN.raw.2018","GIN.raw.2019","GIN.raw.2020","GIN.raw.2021","GIN.raw.2022","GIN.raw.2023"
36,"AUS","Australia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31.3,-9999,-9999,-9999,32.5,-9999,-9999,-9999,33.2,-9999,-9999,-9999,-9999,-9999,32.6,-9999,-9999,-9999,-9999,-9999,33.5,-9999,33.5,33.1,-9999,-9999,-9999,35.4,-9999,34.7,-9999,-9999,-9999,34.4,-9999,33.7,-9999,34.3,-9999,-9999,-9999,-9999,-9999
40,"AUT","Austria",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,30.8,29.9,29.3,29.1,31.3,29.7,29,-9999,-9999,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,30.8,29.7,30.8,30.2,29.8,30.7,-9999,-9999
31,"AZE","Azerbaijan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34.7,-9999,-9999,-9999,-9999,-9999,36.5,25.3,26.8,26.6,26.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
44,"BHS","Bahamas",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
48,"BHR","Bahrain",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
50,"BGD","Bangladesh",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.9,-9999,26.9,-9999,-9999,28.8,-9999,-9999,27.6,-9999,-9999,-9999,32.9,-9999,-9999,-9999,-9999,33.4,-9999,-9999,-9999,-9999,33.2,-9999,-9999,-9999,-9999,32.1,-9999,-9999,-9999,-9999,-9999,32.4,-9999,-9999,-9999,-9999,-9999,33.4,-9999
52,"BRB","Barbados",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
112,"BLR","Belarus",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32,31.7,31.2,30.6,30.3,28.8,26.5,27.6,28.3,29.6,27.8,27.7,28.6,27.2,26.5,26.6,27.2,25.6,25.3,25.4,25.2,25.3,24.4,-9999,-9999,-9999
56,"BEL","Belgium",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.2,-9999,-9999,25.7,-9999,-9999,-9999,25,-9999,-9999,28.4,-9999,26.8,-9999,-9999,33.1,-9999,-9999,28.1,30.5,29.3,28.1,29.2,28.4,28.6,28.4,28.1,27.5,27.7,28.1,27.7,27.6,27.4,27.2,27.2,26,26.6,-9999,-9999
84,"BLZ","Belize",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,60.3,60.9,-9999,56.6,60.4,54.9,53.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
