"iso","country","code","Series.Name","Series.Code","X1996..YR1996.","X1998..YR1998.","X2000..YR2000.","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","X2015..YR2015.","X2016..YR2016.","X2017..YR2017.","X2018..YR2018.","X2019..YR2019.","X2020..YR2020.","X2021..YR2021."
"AFG","Afghanistan",4,"Government Effectiveness: Estimate","GE.EST","-2.17516660690308","-2.10229182243347","-2.17394614219666","-1.58768701553345","-1.12741959095001","-0.909888744354248","-1.2172384262085","-1.46551132202148","-1.44346809387207","-1.53343546390533","-1.51100194454193","-1.48080575466156","-1.47703349590302","-1.37641882896423","-1.4007453918457","-1.36231827735901","-1.35180771350861","-1.25418150424957","-1.35992228984833","-1.47929918766022","-1.49562668800354","-1.58514487743378","-1.63436961174011"
"ALB","Albania",8,"Government Effectiveness: Estimate","GE.EST","-0.68858790397644","-0.732602536678314","-0.917780160903931","-0.624333381652832","-0.569067299365997","-0.409061759710312","-0.704830586910248","-0.586620807647705","-0.431428492069244","-0.370871335268021","-0.254886448383331","-0.278687119483948","-0.200375154614449","-0.267875999212265","-0.323595732450485","-0.04880241304636","0.0592881888151169","0.0597151108086109","0.128729850053787","0.110513411462307","-0.033333245664835","-0.124956652522087","-0.00336363865062594"
"DZA","Algeria",12,"Government Effectiveness: Estimate","GE.EST","-1.08876645565033","-0.883071959018707","-1.01074934005737","-0.614207327365875","-0.670340299606323","-0.553408741950989","-0.4386146068573","-0.43114972114563","-0.53074586391449","-0.596755087375641","-0.529050767421722","-0.388126194477081","-0.514732301235199","-0.444745928049088","-0.428817510604858","-0.336888343095779","-0.37799397110939","-0.430877894163132","-0.506708323955536","-0.457864254713058","-0.54141891002655","-0.544885635375977","-0.620759844779968"
"-8888","American Samoa",-8888,"Government Effectiveness: Estimate","GE.EST","..","..","..","..","..","-0.127275511622429","0.224524423480034","0.245218232274055","0.480822652578354","0.498143970966339","0.497778326272964","0.487507224082947","0.481147527694702","0.480951368808746","0.486867696046829","0.438700348138809","0.485081702470779","0.528136432170868","0.557348668575287","0.546050012111664","0.537684321403503","0.689502596855164","0.697109878063202"
"AND","Andorra",20,"Government Effectiveness: Estimate","GE.EST","1.41403770446777","1.40335631370544","1.38048672676086","1.36772322654724","1.34845733642578","1.50334131717682","1.2872017621994","1.53803372383118","1.50119686126709","1.52785265445709","1.53600037097931","1.51251101493835","1.49870872497559","1.52303469181061","1.53251993656158","1.71223628520966","1.78248631954193","1.85312378406525","1.93147969245911","1.93613159656525","1.90103769302368","1.81611633300781","1.81625008583069"
"AGO","Angola",24,"Government Effectiveness: Estimate","GE.EST","-0.859939992427826","-1.05510711669922","-1.07503414154053","-1.13215708732605","-1.12620854377747","-1.33465933799744","-1.10631906986237","-1.38151121139526","-1.20961427688599","-1.0645045042038","-0.947048008441925","-1.14209020137787","-1.19798719882965","-0.990929543972015","-1.24662971496582","-1.05508363246918","-0.893182992935181","-0.936142444610596","-0.919977068901062","-0.978714644908905","-1.08401024341583","-1.20352840423584","-1.05936896800995"
"AIA","Anguilla",660,"Government Effectiveness: Estimate","GE.EST","..","..","..","..","..","1.05862772464752","1.55287110805511","1.53803372383118","1.50119686126709","1.52785265445709","1.53600037097931","1.51251101493835","1.49870872497559","1.52303469181061","1.53251993656158","0.948114812374115","1.00404345989227","1.32312893867493","0.832174897193909","0.824066340923309","0.810354948043823","0.971156001091003","0.976894974708557"
"ATG","Antigua and Barbuda",28,"Government Effectiveness: Estimate","GE.EST","0.644922494888306","0.65214592218399","0.618822574615479","0.568053841590881","0.576517760753632","0.53997790813446","0.447335571050644","0.407718598842621","0.398915678262711","0.498143970966339","0.497778326272964","0.487507224082947","0.481147527694702","0.480951368808746","0.486867696046829","-0.0707140490412712","0.225600779056549","0.263139009475708","0.00769626582041383","-0.00998254306614399","-0.00765708275139332","-0.155457809567451","-0.142245307564735"
"ARG","Argentina",32,"Government Effectiveness: Estimate","GE.EST","0.165690049529076","0.328712493181229","-0.0280386935919523","-0.228479072451591","-0.0327457562088966","0.0173355247825384","-0.100426144897938","-0.0361093543469906","-0.0116778211668134","-0.124616414308548","-0.295640558004379","-0.111378528177738","-0.0714864432811737","-0.206465601921082","-0.253652781248093","-0.109243862330914","-0.0165390782058239","0.250169098377228","0.164413183927536","0.054248072206974","-0.0965068936347961","-0.224287480115891","-0.356661766767502"
"ARM","Armenia",51,"Government Effectiveness: Estimate","GE.EST","-0.380564451217651","-0.546766698360443","-0.546417593955994","-0.0457692667841911","-0.190817549824715","-0.108692862093449","-0.139261931180954","-0.261045575141907","-0.377753704786301","-0.17073829472065","-0.0199411083012819","-0.166394770145416","-0.108996279537678","-0.0269024036824703","0.0853265821933746","-0.251768827438354","-0.276716083288193","-0.275093078613281","-0.215339452028275","-0.141409367322922","-0.197479233145714","-0.274477034807205","-0.249556034803391"
