"code","iso","country","GIB.raw.1999","GIB.raw.2000","GIB.raw.2001","GIB.raw.2002","GIB.raw.2003","GIB.raw.2004","GIB.raw.2005","GIB.raw.2006","GIB.raw.2007","GIB.raw.2008","GIB.raw.2009","GIB.raw.2010","GIB.raw.2011","GIB.raw.2012","GIB.raw.2013","GIB.raw.2014","GIB.raw.2015","GIB.raw.2016","GIB.raw.2017","GIB.raw.2018","GIB.raw.2019","GIB.raw.2020","GIB.raw.2021","GIB.raw.2022"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.0127448002427873,-0.0116999561268657,-0.014574831495983,-0.0165671141991524,-0.0190204926272265,-0.0232676452787886,-0.0295715274063846,-0.0260014134077299,-0.0267319689614347,-0.0226500328388398,0.00563687925025746,-9999
8,"ALB","Albania",-0.0669657632568779,-0.0655709063777602,-0.0504552341172163,-0.0408265023752724,-0.030718016860989,-0.0222949100301174,-0.0183644213590748,-0.0253459279957298,-0.0330340191007424,-0.0431680426783876,-0.0473370395820343,-0.0486301189772819,-0.0476975992596818,-0.0441098055780517,-0.03283683893612,-0.0190098119350377,-0.01326030389801,-0.012588329467856,-0.0116955611421699,-0.0167800646701506,-0.0251502003936345,-0.0288613009399085,-0.0348141525218723,-0.0428176215463734
12,"DZA","Algeria",0.00801831051297941,-0.00295347789511602,-0.0160980200162563,-0.0306613149042081,-0.0390946102845999,-0.0453864225537153,-0.0414722574932213,-0.0354363896443505,-0.0332857568647769,-0.0246792069999138,-0.0187841215446209,-0.0132793831636255,-0.00984812763796317,-0.00680176067052007,-0.00387917034903162,-0.00342806994804479,0.000618944242729125,0.00238369660770621,0.00326115215620826,0.00459086998965708,0.00559580519840841,0.00554938952109052,0.00656749420353719,0.00613145071569599
20,"AND","Andorra",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.0112133507879644,-0.0152718721776953,-0.0261253742553476,-0.0361386362577591
24,"AGO","Angola",0.0675781337243919,0.0456503892944551,0.0149471604158455,-0.0227007160226733,-0.038449613448071,-0.039527869363274,-0.0473469948663426,-0.0619927023533811,-0.0778163435255145,-0.0880267167598467,-0.0907705601329143,-0.0862741899529458,-0.0789657790840704,-0.0736337877433243,-0.0611348885461778,-0.0476142072179524,-0.0333812322310728,-0.025312079459377,-0.0217920104798447,-0.0248543473846181,-0.0253975851275099,-0.020746335189421,-0.0172265127535358,-0.0187000338510797
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-0.00169986988071247,-0.00246611128338026,0.0020381684777917,0.00921092188083406,0.012679276408931,0.0120434179641318,0.0131590605848464,0.00947633057594421,0.00262787557773603,-0.00439981919330179,-0.00161557257058753,-0.000816048328774688,0.00378702029552413,0.010584157030584,0.0165096681656209,0.019630036562071,0.0204961851255339,0.0151433591523267,0.00343833372442326,-0.0117824034209645,-0.0177614431656481,-0.0115679083766983,-0.00974267820023644,-0.0116618229802364
32,"ARG","Argentina",-0.0310304228096715,-0.0204480168279192,-0.0104440877020943,0.00300763895245693,0.010057573743099,0.0129599197399426,0.0145781168036516,0.01210566650092,0.00114117158485261,-0.0122301019307881,-0.0197495769445798,-0.0308858494901646,-0.0411547247677336,-0.0407795837473348,-0.0380972670214786,-0.0302265285760338,-0.0242609731688329,-0.0153211165491159,-0.0107338442356596,-0.00489283291993858,0.00354470185600109,0.0105977274814426,0.0111546629031785,0.00998638340727886
51,"ARM","Armenia",-0.0561007302281594,-0.0549853863856415,-0.0567934263230931,-0.0419523744154799,-0.0502798379286924,-0.0568622148147397,-0.0540387522870643,-0.0630616632309665,-0.0621015175558668,-0.0574933996631856,-0.0544667146638966,-0.0457650366799582,-0.0317718042731936,-0.0214031008416716,-0.0141227240876723,-0.00882661307527755,-0.0040646111782332,-0.000249514817184715,-0.00376462710385406,-0.00807160131529727,-0.014029602124718,-0.0144168402202259,-0.0124640831361936,-0.0161542006247751
533,"ABW","Aruba",0.0107499721950983,0.0665216710008631,0.10963569483739,0.138185199253918,0.162841728417014,0.165538954186612,0.159507924707435,0.138430786400393,0.103052569696839,0.0537327760036381,0.00107088032674807,0.00235309537300377,-0.000450439401113112,-0.0341041371572489,-0.0810883035868243,-0.116152777647769,-0.137009776128469,-0.149031635016947,-0.151247275791978,-0.149148813197065,-0.127795321597505,-0.0832931113960499,-0.0367719912524097,-9999
36,"AUS","Australia",-0.0196459460558503,-0.0180411943699842,-0.0131153329372856,-0.00964132782027927,-0.0147344110117231,-0.0156154585219314,-0.0205707948498126,-0.0229279894459238,-0.026487403448435,-0.0324860970575409,-0.0337613795001864,-0.0348528361459542,-0.0234360411210138,-0.0142111157775047,-0.0211171088549907,-0.0217004978750778,-0.0252618742881001,-0.0270841407115086,-0.0247397828582738,-0.0263712603297606,-0.0291365528414325,-0.0366313821549925,-0.0333563361773643,-0.0281976138755838
40,"AUT","Austria",-0.0189487550344409,-0.020677782549671,-0.016982421353551,-0.016675802225947,-0.0122522347589249,-0.0106989394839442,-0.00829715513393869,-0.00698684407808481,-0.00901497995141021,-0.0125463850551537,-0.0195349421813892,-0.0241860694158417,-0.028094466118453,-0.0315955073663975,-0.0284250442861992,-0.0271611618179052,-0.0222875907612241,-0.0183688504204252,-0.0159550986287144,-0.0165997823754356,-0.017829855029857,-0.0149601069605735,-0.0129986866771649,-0.0177792119417759
31,"AZE","Azerbaijan",0.0207906194792342,-0.00950184870578963,-0.0480389240620079,-0.0686031873809407,-0.0783645406697202,-0.0777609083895867,-0.0814646487751148,-0.0929301304732483,-0.108879119469722,-0.113839645115043,-0.12266709925768,-0.126404934460945,-0.122053607190263,-0.109524548486879,-0.0908469155847976,-0.064088874294017,-0.03763509339729,-0.0182380382250251,-0.00907673157864353,0.00276133050021787,0.00784750464168305,0.00916709731489895,0.012266266584956,0.0145882932797605
44,"BHS","Bahamas",-0.0204716882783388,-0.0220756042078017,-0.0225015246944456,-0.0200757887132501,-0.0177127717726459,-0.0146054479939339,-0.0150888774363414,-0.0180184437162128,-0.0289234908516,-0.0209492541303097,-0.00903268954194925,0.00128653319418959,0.00515195414916048,0.00640123970370055,0.0107748208655447,0.0162949331898985,0.0169749530565344,0.0123868941779193,0.0104133016766172,0.00592749743809851,0.0097133673898333,0.0234913904248404,0.0214353235530469,0.00801930754573288
48,"BHR","Bahrain",-0.0180358355359613,-0.0137589185014664,-0.0217982297375908,-0.0311670381169542,-0.0339924945563499,-0.0387294746916941,-0.0418708113736922,-0.0441695738247919,-0.0398211469094029,-0.0306423826044547,-0.0207999397557638,-0.0111240703800162,-0.00718172030814301,-0.00516666779415376,-0.0013320889410009,-0.00159755174997278,-0.00181601735167214,-0.0096249568682848,-0.0114946328116047,-0.0108189667841487,-0.00679873260530661,-0.00174884114269991,0.000933282813638581,-0.000654243715522584
50,"BGD","Bangladesh",-0.0223035942591633,-0.0223322718009344,-0.0211699566540337,-0.0205040041901199,-0.0211558217714509,-0.0217250797477,-0.0211520670406832,-0.0210987010712443,-0.0227459072213526,-0.0249976454563351,-0.0255253344798361,-0.0256985801069289,-0.0255605299961871,-0.0254115571984151,-0.0263059069027157,-0.0271989935674892,-0.0277010339008852,-0.029019186264123,-0.0315451246662656,-0.0341676536666801,-0.0337243824622993,-0.033813903632865,-0.0336277570918624,-0.0345582481463697
52,"BRB","Barbados",0.00765966684917752,0.00735358679189879,0.0118787048397646,0.017531586500706,0.0109461094016197,0.00478590780020571,0.000190313090782102,-0.00813074891015697,-0.0120659858117443,-0.00921535310471611,-0.00337112729449829,0.000368235517663518,0.00548068000894419,0.00567180382981203,0.00721574733855967,0.00506043304616588,0.000596653364510091,-0.00819622613964299,-0.0190441338620999,-0.0204743518230963,-0.0187448582008272,-0.0242567192753932,-0.0237790958463705,-0.0288379134388176
112,"BLR","Belarus",-0.0355804932543332,-0.0445388015950421,-0.0535079087737267,-0.0606858809870401,-0.0667296555644746,-0.0705204231208076,-0.0698584350873946,-0.0656573096153603,-0.065268036877812,-0.0654723659069433,-0.0626754902413336,-0.0614229638318075,-0.0533074742654741,-0.0435171996088742,-0.0317624807967496,-0.0210389072178058,-0.0120991970325555,-0.00344228716746964,6.18581142481922e-05,0.000705633803387951,-0.000614881289892066,-0.00615270924171429,-0.00707188185047469,-0.00597058020359931
56,"BEL","Belgium",-0.0136741148624435,-0.017675865677331,-0.0206287053668098,-0.0231082206787279,-0.0237874431206695,-0.0240276901215339,-0.0248637106987233,-0.0241085786836454,-0.0277723224890949,-0.026844122571306,-0.0304326492353332,-0.0307623950089769,-0.0339743296802112,-0.0356101709374564,-0.0339949716547131,-0.0337164732942902,-0.0314403341670202,-0.0294375817054378,-0.0288384882016968,-0.0260505617898454,-0.0260609717222954,-0.0224270016353645,-0.0220231071408574,-0.0258418808350238
84,"BLZ","Belize",-0.0379200022560853,-0.0381856276043545,-0.0305992297655738,-0.0267601391192457,-0.0241386477483215,-0.031038135780898,-0.0334024122671557,-0.0368329692508367,-0.0289608587206508,-0.0209730461153791,-0.00947016561399505,-0.00180738074415887,0.0115979464940765,0.0161793288711192,0.0225538916958814,0.0122064506485002,0.00986748500376633,0.00715238816523867,0.00518423680045776,0.000903528913910989,0.00559308007972592,0.0140768074657258,0.021851301144751,0.0137767088502765
204,"BEN","Benin",0.00284961001683115,0.00249221673902666,-0.00500970682735324,-0.00659549071365617,-0.0102705966381361,-0.0113453139232645,-0.0132517596787154,-0.00708533628583519,-0.000965327049073594,0.000852517020539789,0.00436077194338136,0.0109004265954487,0.00726514366046205,0.00559331234923888,0.00153565833490821,-0.00615385713809902,-0.00786534125698057,-0.00353025759072012,-0.000157130739725453,-0.000585469637682912,-0.002529878176595,-0.000641137773871425,-0.00105921619470772,-0.00514312604680855
60,"BMU","Bermuda",-0.0207352116161464,-0.0318774416446085,-0.0357794611361917,-0.0412308071691425,-0.0380551079814094,-0.0314671037809067,-0.0250470712212217,-0.0143772592377516,-0.000644194300141843,0.00537068647137495,-0.00428418942600495,-0.00103914520320847,-0.0166698139667129,-0.0326938273235633,-0.0256850276115631,-0.00367662433215521,0.00187731338361297,0.0187491444952435,0.0387803348829916,0.057177686585492,0.045495140399914,0.0376154335461081,0.00861332686577754,-0.0306086101455832
64,"BTN","Bhutan",-0.005268676147826,-0.0064476386713993,-0.0131128020485956,-0.0250315127446408,-0.0415916801918329,-0.0605966941412605,-0.0646564460915262,-0.0650984558277248,-0.0672655453625355,-0.0658937235052078,-0.0659125258954624,-0.0626107139565182,-0.054410451363183,-0.0451602427798882,-0.0343180547623387,-0.0265273452606842,-0.0151998112218642,-0.00225967504694657,0.00278798991833717,0.00973822017601744,0.00611351069451982,0.00307038381317226,-0.00531546651492376,-9999
68,"BOL","Bolivia",-0.0461600282097292,-0.0513305822627493,-0.0534141581638724,-0.0439407846546075,-0.0314785868006381,-0.0167013030437227,-0.0110597780364527,-0.00961608522370072,-0.00347071587512648,-0.00484840231308148,-0.0053729461250569,-0.00716502089536164,-0.0133908649271053,-0.0136640786769272,-0.0153321861555712,-0.0158300809628737,-0.0141589409772374,-0.0140511556494185,-0.015648409418519,-0.020218882973968,-0.0244976371662404,-0.0210403810368137,-0.017627401706834,-0.0138647320683517
70,"BIH","Bosnia and Herzegovina",-9999,-9999,-9999,-9999,-0.0269222785918576,-0.00078729837341851,0.0168347613073203,0.00144007129174684,-0.00367402531848016,-0.00227170389438525,-0.00219855664167401,0.00389852252986223,0.0107240307978058,0.0141188419076845,0.0120101150723682,0.00739693966527644,-0.00207534050369906,-0.0042054840964586,-0.00984203577763776,-0.015622791389649,-0.0225029718836096,-0.024811965922381,-0.0261086167501245,-0.028856643854822
72,"BWA","Botswana",-0.0372146939338825,-0.036242184409874,-0.0273546636358361,-0.0215127201510454,-0.0497437094686691,-0.0679774947896169,-0.0731609401129443,-0.066322681353564,-0.070230672794123,-0.0401953371137282,-0.0429085055358371,-0.00346124045063922,0.0542136173659966,0.0752249130158196,0.0446305613158615,0.00586457151066111,-0.0291011862146958,-0.0578280712416144,-0.0803025994566308,-0.0763974004645795,-0.107855546915939,-0.0817283000037045,-0.0161624174179842,0.0180039155734646
