"code","iso","country","PEP.raw.1999","PEP.raw.2000","PEP.raw.2001","PEP.raw.2002","PEP.raw.2003","PEP.raw.2004","PEP.raw.2005","PEP.raw.2006","PEP.raw.2007","PEP.raw.2008","PEP.raw.2009","PEP.raw.2010","PEP.raw.2011","PEP.raw.2012","PEP.raw.2013","PEP.raw.2014","PEP.raw.2015","PEP.raw.2016","PEP.raw.2017","PEP.raw.2018","PEP.raw.2019","PEP.raw.2020","PEP.raw.2021","PEP.raw.2022"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00119177382346824,0.00124696477196046,0.00121433571744427,0.00113723266480098,0.00100234003617555,0.000793796905388805,0.00058899964685453,0.000420079041982283,0.000312961950237912,0.000317112693423243,0.000429480662944117,-9999
8,"ALB","Albania",0.000187050941894362,0.0021579477389431,0.00412567959928919,0.0051229314136559,0.00626559310288024,0.00698553633167939,0.00765249186480442,0.00730194658822704,0.00611767982756589,0.00501163868038465,0.00435443090418532,0.00417550480548857,0.00430292619069114,0.00411517784044502,0.00491743140190147,0.00621017441852676,0.00575042175255508,0.00535316289446945,0.00582512520044527,0.00522722482309606,0.00448573983035659,0.00384163590901488,0.00346324224064908,0.00338738942416858
12,"DZA","Algeria",0.00495937999340011,0.0048148805425518,0.0038905169723243,0.00314600305578473,0.00297550300643943,0.00246931300232461,0.00325937062958392,0.00370538000257469,0.00397964422810462,0.0047424985115011,0.00524448089669755,0.00574751941381791,0.00566734327482265,0.00583222209510842,0.00637493251267866,0.0068812278885762,0.00777719884407256,0.00815622857064688,0.0084391726351658,0.0087992656827125,0.00887713818767248,0.00807309942582383,0.00729696325749319,0.00674689028962958
20,"AND","Andorra",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0033940334227699,0.00180082773978481,0.00280192680055048,0.00233999650685529
24,"AGO","Angola",0.00317184448320487,0.00298395476264924,0.00264723472346737,0.00223471744766018,0.00191809374960098,0.00172044333697213,0.00166345996487207,0.00141831898677581,0.00127536332720163,0.00132148701981509,0.00137429274051505,0.00161902454764529,0.00164293030959316,0.00169643179103573,0.00184156407323298,0.00237980869126056,0.00248631032733023,0.00241989974532892,0.00229344913303208,0.00177657497719386,0.00141993707691107,0.00112761913630005,0.00109033186271856,0.00122167120263992
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0.00658537160150429,0.0072743286240166,0.00759399768665142,0.00835329758046995,0.00911668715020547,0.00956179009115693,0.00962422826875235,0.00964175901395048,0.0099372513808182,0.0100577716088482,0.0104763841994621,0.00993680229131667,0.00888531507134355,0.00851861473260322,0.00818473469013063,0.00779949652232717,0.00772841867937173,0.00769206790718454,0.00750293616565534,0.00767715817367862,0.008266606072846,0.00717201213590005,0.00625206064890039,0.00569276916392033
32,"ARG","Argentina",0.00845122625861313,0.00850873449944963,0.0081309391252596,0.00764416783574274,0.00818028003729916,0.00945464979792268,0.0101588399814891,0.0114395157336053,0.0121150809162352,0.0128131987751629,0.0120134017584061,0.0113627911757901,0.0102924233578283,0.00877675768287342,0.00775621225121248,0.00753964909247132,0.00724750920954239,0.00767711323944525,0.00820585009911554,0.00889582160826442,0.0084308712793468,0.00766734594177421,0.00857196085564647,0.00876129591470225
51,"ARM","Armenia",0.000310342519739721,0.00104452327731979,0.0016679572714236,0.00299246430690752,0.00312722025704172,0.00339155640234847,0.00451111466329237,0.00491437594249329,0.00590360519118515,0.00691584404919461,0.00589088002974884,0.00529912410864045,0.00540488226314844,0.00571913947643636,0.00533538386430886,0.00495992879309223,0.00447271476747922,0.00482411993875254,0.00509803606963351,0.00681395423185188,0.00652077985411603,0.00606468988368414,0.00617277008141774,0.00665460065661973
533,"ABW","Aruba",0.0209179688588385,0.0631551157956376,0.0827073188775797,0.0959608933675021,0.107712951776082,0.112687137397225,0.113680524628351,0.105213468528251,0.0935672889622456,0.0694111897249288,0.0396284855370073,0.0321692137299093,0.0270413540069066,0.0094471170961669,0,0,0,0,0,0,0,0,0.00452096548374284,-9999
