"code","iso","country","NDA.raw.1999","NDA.raw.2000","NDA.raw.2001","NDA.raw.2002","NDA.raw.2003","NDA.raw.2004","NDA.raw.2005","NDA.raw.2006","NDA.raw.2007","NDA.raw.2008","NDA.raw.2009","NDA.raw.2010","NDA.raw.2011","NDA.raw.2012","NDA.raw.2013","NDA.raw.2014","NDA.raw.2015","NDA.raw.2016","NDA.raw.2017","NDA.raw.2018","NDA.raw.2019","NDA.raw.2020","NDA.raw.2021","NDA.raw.2022"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.043301303316652,0.0468287175618776,0.0542975229034415,0.0458915879025894,0.0446660540257107,0.031195704980624,0.023027137853135,-0.0108672829746833,-0.0251116190173692,-0.0370584494054283,-0.0597155686401633,-9999
8,"ALB","Albania",-0.00257020311589416,0.0103076148319392,0.0100538344224328,0.0096256818661038,0.0100364796521988,0.018036782569244,0.0258974765724771,0.0240598877301887,0.014922306737035,0.00403219647347663,-0.0076630847099041,-0.0183152491829652,-0.0275271759714041,-0.0212257627740893,-0.0111840497170632,-0.00172862389793651,0.0055284169751777,0.0110337904591749,0.0137836572107819,0.0130174330254813,0.0112385729660449,0.00331653514663799,-0.00192888262914935,-0.00379342523139895
12,"DZA","Algeria",-9.320152335112e-05,0.00478649251137364,0.0123369025542821,0.0175205947504802,0.0269619561811132,0.0371732287506457,0.0330712087038312,0.0259474297209179,0.0239665459968441,0.0246979111852499,0.0295043375337543,0.0329821577866982,0.0379664555971753,0.0396174359729005,0.0405445139467671,0.0473439747333357,0.0446300467406471,0.036052525709579,0.0330094085220214,0.0249738559462029,0.0205952462179764,0.0154913791441478,0.0110457685999632,0.012106342096226
20,"AND","Andorra",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.0239283593993245,-0.0204190704417799,-0.0188013298195805,-0.0208117480801751
24,"AGO","Angola",-0.0180462853243065,-0.0174267223650746,-0.0137002645739155,-0.00137828421548213,0.0130965990992413,0.0257805491731691,0.0354952547842764,0.0319381569611987,0.0287601730076747,0.0261422546852355,0.0173590528394685,0.0109958532733025,0.00527717354724344,-0.000895472253372814,0.00275409481149014,0.00511380073040479,0.00894793591580645,0.0073822306597342,0.0100725941880462,0.00291072170168594,0.00243765226979131,0.00120031567836354,0.00277112637060006,0.00189006012287884
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0.0395012077326087,0.0383355810258232,0.0366006258734788,0.0341218676596255,0.0330264906558912,0.0317594632096883,0.0289909854206225,0.0262731639786307,0.0225958910462503,0.0210284387993234,0.0266683903659537,0.0169445926058882,0.0116147254292069,0.00594191163749835,0.00529341564688601,0.00703443172876339,0.00783213907814573,0.00895672786522006,-0.00123824055015263,-0.00951160052862649,-0.00769314008757508,-0.0199038470001852,-0.0193813141500548,-0.0176422891313382
32,"ARG","Argentina",0.00317563520194697,0.00543436214683202,0.0113050110281663,0.0126061941919513,0.0157992719841293,0.0151649803103981,0.0146445046845778,0.013868885968259,0.0118080496252524,0.00556356588780793,-0.00356595938189791,-0.0100585574167678,-0.00907661977582593,-0.0142885725229378,-0.0109416456877027,-0.00719852746777032,-0.00473702601060881,0.00225773559341813,0.0114782447804531,0.0160011185776854,0.0177054530109917,0.0195155047296149,0.0212458911608828,0.0189031287893258
51,"ARM","Armenia",0.0396587119394167,0.0495585109836683,0.054528578622703,0.0728672110855215,0.0673602118420615,0.057947330585127,0.0442457497422712,0.0507585228859138,0.0453624532949932,0.0329651089688767,0.0232323938541277,0.0133227427470048,0.00643041725255356,0.0163849784966403,0.0270834189959275,0.0352436110909737,0.0430042754697277,0.0899558783130208,0.105672360480506,0.104232569617759,0.0931135925213871,0.0686454265773035,0.0426455763876763,0.033605156266181
533,"ABW","Aruba",0.115905936095166,0.117668250045235,0.117627598958565,0.110833246209386,0.106739246848341,0.102314217072332,0.0951650303153782,0.0498865731681948,0.0301735247555399,0.016812726309779,0.0228684432436961,0.0175914862857822,0.00967803860860261,0.00606321739847782,0.00687736386635973,0.0137676787768324,0.020363967755376,0.0243681128760422,0.0211008590637982,0.0115560332532214,0.00750358598708489,-0.00378037618293501,-0.0150903309676844,-9999
36,"AUS","Australia",0.0163132153325363,0.0224995439744742,0.0258674208492649,0.0272543681222499,0.0240914130550289,0.0255083799841371,0.0209579775048079,0.0180610236109378,0.0112803951123526,0.00492362829094839,0.000695231775029503,-0.00161422854580678,-0.000754011206467228,0.00203119287543552,-0.0036761805489761,-0.00150739663631402,-0.000921985459382044,9.46590520654045e-05,0.00121449726880329,-0.000929223080723377,-0.00406017400409699,-0.0108445085625822,-0.00209908098764711,0.00147844721210233
40,"AUT","Austria",-0.00201055454313206,-0.000365394773116788,-8.11211453554093e-05,-0.00224613454112807,-0.00570189481280156,-0.025339432486171,-0.0407768593502403,-0.0504874222707976,-0.0525677317045616,-0.0427625155847347,-0.0376966882177145,-0.0335073649121382,-0.0275916942696801,-0.01905641454948,-0.00893081826120003,-0.00867665340148479,-0.00668631706223016,-0.0020041594938291,-0.000245942263384632,0.00398589598615029,0.00488741649918722,0.00196400140557751,0.00141127756705384,0.000183097331383886
31,"AZE","Azerbaijan",-0.026962416994141,-0.0402050069302284,-0.051964331254456,-0.0491606724795604,-0.03294525525697,-0.00898861204603252,0.00584738729161338,0.0162209733002914,0.0255590177849256,0.0342655581215965,0.0388497745471135,0.0357622781868978,0.0177724104492396,0.00679311106374714,-0.0170762068366391,-0.000757854514852316,0.00942448159191711,-0.0129460547886406,-0.0299940344043893,-0.0371724118468597,-0.0400009267829313,-0.0339655366243558,-0.037945996442672,-0.0475054075685375
44,"BHS","Bahamas",0.0682999786833973,0.0703826913721466,0.0709243360474527,0.0590404046492576,0.0302760166473606,0.014008212053074,-0.000731119155316988,-0.00271719313726243,-0.00213436776502301,0.00675496926854913,0.00140719895014829,0.00135250671268139,0.00446387157303763,0.00749395191152558,-0.000967540939677465,0.000289239924176954,-0.00221212211751953,-0.00388394898456678,-0.0124546939639348,-0.020502095335849,-0.0280388331565385,-0.0233642765819228,-0.0208601234590373,-0.0194470056452197
48,"BHR","Bahrain",0.0491758163674922,0.0408321042405047,0.029756865990092,0.0297789061709053,0.0300234155704575,0.0294883396590735,0.0313757130547956,0.0365853106282041,0.0398280596591476,0.046310525807066,0.0462050399518443,0.0404038606081487,0.0292246267384657,0.0241821284317623,0.0212771822545545,0.0175039689101824,0.018559756004324,0.0255980432418925,0.0316873907259894,0.0384458073690668,0.0393155961432901,0.0401874871388981,0.0377344013005247,0.0338055731426481
50,"BGD","Bangladesh",0.0288088255644658,0.0280940968292227,0.0277741198088868,0.0283738096688559,0.0285805832088397,0.0291648359048113,0.0328535265872145,0.0328255097402879,0.0298677387011836,0.0258538350731805,0.0198541461971666,0.0133333415527144,0.0074509211709175,0.00124080407651017,-0.00442766220141495,-0.00675001641829194,-0.00112217312894353,0.00132532804468011,0.00404233079539762,0.00900751356173668,0.0113104463899054,0.0142325678582411,0.0171489386486632,0.0148605421260908
52,"BRB","Barbados",0.0120707462058918,0.011525270303518,0.00936936662713528,-0.000227582939250961,-0.01108854378552,-0.00696774166686829,-0.00825139577991552,-0.0149094691244203,-0.0200914281124363,-0.00886468449514206,0.000732271390505357,0.00805901699236955,0.0191934046273743,0.0173723132158174,0.0154439807266888,0.0184938709559364,0.01604356464433,0.0129486201832274,0.00167952751781941,-0.00879781104397871,-0.01962341568106,-0.0221135709159777,-0.0153162586205059,-0.00876078811428636
112,"BLR","Belarus",-0.00846726995290724,-0.0156091209381749,-0.0251219703629512,-0.0297404818809169,-0.0167265095577085,-0.0123998172045603,-0.0101313811106215,-0.00199301997293,0.00447442633238126,0.0148851312603875,0.0202606166117951,0.0234497454825762,0.0252421110175898,0.0195972569540948,0.0152740379061214,0.00826482867735168,0.00225298275161201,-0.00110655748838529,-0.0055195074028534,-0.0073865526431664,-0.00511530441389884,-0.00166532386440527,0.00305010359445435,0.00454208643395604
56,"BEL","Belgium",0.0150629467413084,0.0109609889967266,0.00360861007255342,-0.00974678839995335,-0.0361900250923516,-0.0556228531446124,-0.0691516420351953,-0.0814712350008033,-0.0946987347151406,-0.099246246533734,-0.0914283296870207,-0.0702527592294284,-0.0699859410631284,-0.0646770886570924,-0.0655024893050009,-0.0559922966571354,-0.0445677008282141,-0.0466164058064776,-0.0481750221980053,-0.0513934197339099,-0.0484544131237975,-0.0326821102024675,-0.0344952032910893,-0.0377188913906062
84,"BLZ","Belize",-0.0246747687015285,-0.026398096644056,-0.00614490673015807,0.0212302711808507,0.0459352821668486,0.058916080610649,0.0643725840923792,0.0706201939455253,0.0556266005905905,0.0334748716089879,0.0135726748819192,-0.0109142184085513,-0.0280637423806429,-0.0308776872832753,-0.00525640834022711,0.0127843758223682,0.0275245809142486,0.0428071184447627,0.0472049441403863,0.0417496086692328,0.0374375910029681,0.0262515368095717,0.021142587250355,0.0163622362667604
204,"BEN","Benin",0.0487819954397322,0.0507340810994064,0.0390319619087889,0.0343339221587435,0.0205482524919915,0.00639955166406181,-0.00150821932450057,-0.00570438068171148,-0.00354402204379072,-0.00396370711632576,-0.00137534076259055,0.00663981075147912,0.00391892692344697,0.0105874508830002,0.0129518339038723,0.010811982486282,0.0172671581732458,0.0226900240745707,0.0264390566133983,0.0298200743924562,0.0369462449850497,0.0391272275128862,0.0402058563321201,0.0385488582897278
