"code","iso","country","PIA.raw.1992","PIA.raw.1993","PIA.raw.1994","PIA.raw.1995","PIA.raw.1996","PIA.raw.1997","PIA.raw.1998","PIA.raw.1999","PIA.raw.2000","PIA.raw.2001","PIA.raw.2002","PIA.raw.2003","PIA.raw.2004","PIA.raw.2005","PIA.raw.2006","PIA.raw.2007","PIA.raw.2008","PIA.raw.2009","PIA.raw.2010","PIA.raw.2011","PIA.raw.2012","PIA.raw.2013","PIA.raw.2014","PIA.raw.2015","PIA.raw.2016","PIA.raw.2017","PIA.raw.2018","PIA.raw.2019","PIA.raw.2020","PIA.raw.2021"
4,"AFG","Afghanistan",0.000428038434018195,0.000332741319976831,0.000264595897645576,0.000423246959010528,0.00042164980067464,0.000431765136801935,0.000442412859041194,0.000388641861732938,0.00044347763126512,0.000364152100582643,0.000613308800981294,0.000767700773450543,0.00105252734335071,0.00123034430474633,0.00150824985519098,0.00143424818562813,0.00119733636580463,0.00147994420440241,0.00160114653148709,0.00178879750280679,0.00225891427305871,0.00253735220961532,0.0024170329483117,0.0021700057923609,0.00214977512010631,0.00296805257419333,0.00259910899860302,0.00310221387440799,0.0031378837439095,0.00318420133565028
8,"ALB","Albania",0.00311712428704072,0.00515983552195251,0.00709643188751824,0.0128796922668789,0.013038864570898,0.0101870274572224,0.0149356678604589,0.0210240084891895,0.0202148826104258,0.0234646504841491,0.0285183711367555,0.0288632444621303,0.032086483618517,0.0334527125613477,0.0392757660167131,0.0370208250431092,0.0395012601140735,0.0357142857142857,0.0350661375661376,0.0443386243386243,0.0505106778087279,0.0648759782464518,0.064478047486404,0.0555511341026661,0.0511208383074678,0.0764027059291683,0.071508157580581,0.0958615200955034,0.0903833399655127,0.11089003846664
12,"DZA","Algeria",0.0067423235064092,0.00582305076401552,0.00569978802149747,0.00700147228435378,0.00684999276945208,0.00681082343410372,0.00668756069158567,0.00653459608340061,0.00706922966540663,0.00727064544196098,0.00691273796067362,0.00760293506411055,0.0080518045090031,0.00782198632340468,0.00950404010345902,0.00916915156806359,0.0093998979369641,0.0103370776500949,0.0110893952376867,0.0123342199203892,0.0145162299347654,0.0189447781057153,0.0207638317411586,0.0219940458897537,0.0219897762465641,0.026903764284509,0.0261213057608439,0.0282399769662032,0.0283522871457565,0.0313772365272801
20,"AND","Andorra",0.334358974358974,0.352820512820513,0.382564102564103,0.403076923076923,0.384615384615385,0.415384615384615,0.426666666666667,0.498461538461538,0.503589743589744,0.521025641025641,0.503589743589744,0.431794871794872,0.465641025641026,0.489230769230769,0.467692307692308,0.456410256410256,0.482051282051282,0.547692307692308,0.482051282051282,0.451282051282051,0.467692307692308,0.458461538461538,0.426666666666667,0.405128205128205,0.393846153846154,0.442051282051282,0.484102564102564,0.459487179487179,0.435897435897436,0.477948717948718
24,"AGO","Angola",0.000596505045369276,0.000424947535802765,0.000402516287578572,0.000443640242656259,0.000508026232929405,0.000603151341139408,0.000687060825237314,0.000723615451973036,0.000685814644780415,0.000699107236320677,0.000714476795289106,0.000775955031162819,0.000968282215010991,0.000972436149867323,0.0012436880959858,0.00125781147449733,0.00155149466884001,0.0019991805684298,0.00204650336427718,0.00230677874143779,0.00293973969782616,0.00533572932295847,0.00609174546681089,0.00552722571983537,0.00626496455031994,0.00520363419452711,0.00462000634721246,0.0052260654427513,0.00687808533511454,0.00730054051000351
660,"AIA","Anguilla",0.159090909090909,0.140151515151515,0.189393939393939,0.306818181818182,0.299242424242424,0.348484848484849,0.401515151515151,0.412878787878788,0.435606060606061,0.450757575757576,0.397727272727273,0.439393939393939,0.363636363636364,0.435606060606061,0.458333333333333,0.450757575757576,0.439393939393939,0.441558441558442,0.445887445887446,0.415584415584416,0.46969696969697,0.359848484848485,0.356060606060606,0.363636363636364,0.359848484848485,0.348484848484849,0.318181818181818,0.371212121212121,0.34469696969697,0.371212121212121
28,"ATG","Antigua and Barbuda",0.0508720930232558,0.0717054263565891,0.0712209302325581,0.0862403100775194,0.0862403100775194,0.103197674418605,0.101259689922481,0.112403100775194,0.113856589147287,0.125484496124031,0.126937984496124,0.133720930232558,0.136143410852713,0.117248062015504,0.133236434108527,0.131782945736434,0.138081395348837,0.164244186046512,0.152131782945736,0.169573643410853,0.156976744186047,0.157461240310078,0.164244186046512,0.165697674418605,0.156007751937984,0.170542635658915,0.173934108527132,0.167151162790698,0.156976744186047,0.160368217054264
32,"ARG","Argentina",0.00420653435931323,0.00438868768033572,0.00444863554564054,0.00595520624112921,0.00593420874014679,0.00677032922926678,0.00683258681967966,0.007221565525379,0.00779038782699277,0.0077758995513149,0.00759742079296432,0.00783385265402638,0.00766828735877999,0.00750671158872027,0.00865863449261586,0.00846535249607268,0.00873852998385397,0.00958967316348375,0.00893754935799445,0.00976569306076455,0.0111085179197398,0.0127067427070167,0.0124537228201786,0.0129901039827745,0.0126257973407295,0.0148752596209762,0.0152169939494651,0.0156427182818837,0.0158328506532795,0.0154295936469121
51,"ARM","Armenia",0.00945083014048531,0.00734355044699872,0.00414158000364897,0.00443349753694581,0.00659551176792556,0.013674511950374,0.0132457580733443,0.00958766648421821,0.0124977193942711,0.0108100711548987,0.0161558109833972,0.0146323663565043,0.0146414887794198,0.0161831782521438,0.0185914979018427,0.023709177157453,0.0280149607735815,0.0253311092273055,0.0221681387696318,0.0274367178028749,0.0386243386243386,0.0186918445539135,0.0163108921729611,0.0140394088669951,0.0163473818646232,0.0248586024448093,0.0184637839810254,0.0325761722313446,0.0321200510855683,0.0419631454114213
533,"ABW","Aruba",0.393478260869565,0.38695652173913,0.373913043478261,0.384782608695652,0.369565217391304,0.393478260869565,0.443478260869565,0.441304347826087,0.432608695652174,0.443478260869565,0.404347826086957,0.430434782608696,0.432608695652174,0.439130434782609,0.43695652173913,0.432608695652174,0.434782608695652,0.403726708074534,0.370600414078675,0.401656314699793,0.419565217391304,0.397826086956522,0.404347826086957,0.406521739130435,0.410869565217391,0.445652173913043,0.45,0.471739130434783,0.460869565217391,0.480434782608696
