"code","iso","country","GPB.raw.1969","GPB.raw.1970","GPB.raw.1971","GPB.raw.1972","GPB.raw.1973","GPB.raw.1974","GPB.raw.1975","GPB.raw.1976","GPB.raw.1977","GPB.raw.1978","GPB.raw.1979","GPB.raw.1980","GPB.raw.1981","GPB.raw.1982","GPB.raw.1983","GPB.raw.1984","GPB.raw.1985","GPB.raw.1986","GPB.raw.1987","GPB.raw.1988","GPB.raw.1989","GPB.raw.1990","GPB.raw.1991","GPB.raw.1992","GPB.raw.1993","GPB.raw.1994","GPB.raw.1995","GPB.raw.1996","GPB.raw.1997","GPB.raw.1998","GPB.raw.1999","GPB.raw.2000","GPB.raw.2001","GPB.raw.2002","GPB.raw.2003","GPB.raw.2004","GPB.raw.2005","GPB.raw.2006","GPB.raw.2007","GPB.raw.2008","GPB.raw.2009","GPB.raw.2010","GPB.raw.2011","GPB.raw.2012","GPB.raw.2013","GPB.raw.2014","GPB.raw.2015","GPB.raw.2016","GPB.raw.2017","GPB.raw.2018","GPB.raw.2019","GPB.raw.2020","GPB.raw.2021","GPB.raw.2022"
4,"AFG","Afghanistan",0.00426723338217427,0.00538116469167171,0.00224481421506217,-0.0105799676420738,-0.0192333911532224,-0.0228889626220533,-0.0218312853180073,-0.0195932276280087,-0.0156867274664277,-0.0119121390552052,-0.0112078997618078,-0.00555135572158461,0.00778495007442714,0.0145330243032855,0.0195714470222441,0.0202444837611127,0.0198089478969725,0.0105445255750858,0.00303590636690432,-0.00656395644754038,-0.0209066063007408,-0.0365263138562892,-0.041311498124906,-0.0441597771157093,-0.0484181441847201,-0.054964859315921,-0.0579151197723154,-0.0601565386774703,-0.0543120053583994,-0.0429072084948975,-0.0303369145737171,-0.0245327936744277,-0.0191776282947305,-0.010829388006098,-0.00979510892610558,-0.0155959028826079,-0.0193198930599184,-0.0205941582583908,-0.0167427579683318,-0.00369055881035274,0.0155077626183038,0.0333428590579334,0.0449236825315686,0.0530320754881064,0.0523246396894927,0.0436749480483578,0.0318667760671996,0.0133843044654056,-0.00481547278480976,-0.016196174797323,-0.0242963802732112,-0.0251896416000673,-0.017950158514266,-0.015201457094288
8,"ALB","Albania",-0.0014210139111418,0.00527884379937538,0.0155436387611299,0.0341898718987934,0.0391488171592411,0.029652293989735,0.0215244770812306,0.0176895494802807,0.0165526762101251,0.0198062053600243,0.0232393388055214,0.0132977753631172,0.0154506065077624,0.0256056925499613,0.0327467884361461,0.026823188813129,0.0176108022962003,0.00914520319102419,0.000462584638204477,-0.0040484168623065,0.00306835665900107,-0.022450902555915,-0.0416329939075143,-0.0707616487152646,-0.0882674064902778,-0.0951600514826858,-0.094460285431157,-0.0886421886624352,-0.084180656187867,-0.0712085539998456,-0.0327977266866479,-0.0058920793006616,0.0171669659354907,0.0249087398111651,0.0339657305634249,0.041772030680761,0.0489385625392103,0.0471438864113003,0.0336642254625112,0.0192705494528502,0.0132516365321054,0.00977928764351255,0.00884394541080202,0.00816296918540527,0.0138327473658015,0.0213652708575289,0.0205387690493786,0.0158618684815155,0.0135479351568415,0.00872843301584814,0.00096202867682238,-0.00418386666933512,-0.00720085086374544,-0.0114119588051841
12,"DZA","Algeria",0.0102460535054851,0.0228916778537236,0.0375084913717241,0.060249812811838,0.0766057270602476,0.0742134103582983,0.0681324478989338,0.0708297842384289,0.0652382470944475,0.0632758790360783,0.0486901295938709,0.0402479879456714,0.0154387540218095,0.00118008808755365,0.00261181697472535,0.00375923172959425,0.000335577904017059,0.000198169444128427,0.00203692777289755,0.0144407515741973,0.0161977742464197,0.0240095996328624,0.0160355521619342,0.000360382550125271,-0.00799734247130268,-0.00757039528139947,-0.00330881807416006,0.00153546619983858,0.00237251812371708,0.00704297015503408,0.00517490069488735,0.001258184437126,-0.00642707090719874,-0.0143813117883999,-0.0171855331519761,-0.0206168259881373,-0.0130351021138077,-0.00492774556974795,-0.00336816547463215,0.00411944688605348,0.00678655766374625,0.00867786268105308,0.0072652325324476,0.00629770365057669,0.00704373319606266,0.00637043570606721,0.0115302759249445,0.0138885012395438,0.0147233599177312,0.0149428386105546,0.0132673340777492,0.00695732870094856,0.00349114535883888,0.00039520572470142
20,"AND","Andorra",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.00145264233630249,0.00298694161800928,0.00536710949115804,0.00480951483710856,0.00136311805206679,-0.00354244418448713,-0.00834079598373128,-0.0128050315748304,-0.0149479432219791,-0.0142695060308903,-0.0127387453682087,-0.0076253693594639,-0.00491463244997936,-0.00353088192089823,-0.00455904130228202,-0.00623690942346489,-0.00745747431230326,-0.0109375585367059,-0.0140697068733416,-0.0131245601475881,-0.0140194706014194,-0.0234007367585451,-0.0324831794298814,-0.0391371281139102
24,"AGO","Angola",0.0142055856955976,0.039061121467618,0.0254226183435642,0.0227139107606382,0.0215687724638074,0.0112186518803912,0.00465806632458454,-0.0104962534910898,-0.0228456562643652,-0.0283988112803086,-0.0175174887198875,0.00790164265410742,-0.00570428802165068,-0.00904864141173567,-0.00662928522708861,-0.0223222978582679,-0.0300427014797986,-0.0458706000611578,-0.0396240150270344,-0.041421252655188,-0.0244170583543708,0.00250582908619412,0.0161637107352177,0.0278298845654945,0.0417711253331825,0.0531705352259744,0.0604279822791747,0.061820429782393,0.0731605264771109,0.065702079529679,0.0498954473040256,0.044100300839814,0.0303811129494624,0.00982163000267589,-0.00962006600539234,-0.0152013374824664,-0.0199053895996095,-0.0264817897989517,-0.0315876427519051,-0.0316519337592134,-0.0318623399069702,-0.0298410167874493,-0.0302363081624014,-0.0298644500237565,-0.0267934102417205,-0.023015328348157,-0.0178322067733612,-0.0205291856156198,-0.0249754525240847,-0.0337920614081392,-0.0424556152085198,-0.0486384394029052,-0.0543392552833522,-0.0591004728930844
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0.348305967198271,0.2950628745483,0.224699326294088,0.165115055392718,0.0811043654715955,0.00788265215504524,-0.0294401734086897,-0.0640321328014077,-0.0671459678604217,-0.033695229474665,0.0147614754016423,-0.0265621340349551,-0.0701015057795592,-0.0749953304115805,-0.122881277914941,-0.133031321728994,-0.0909103074874748,-0.0681658423687285,-0.0288580275384277,0.0222843329164766,0.070279086838678,0.0630979549726314,0.040185644902407,0.0559312297337302,0.0187780247645863,-0.004077383403435,-0.00710874011469531,-0.00866316499603881,-0.00352411453211288,0.00452858951324941,0.0143912622031352,0.0163664570306397,0.0190092691477901,0.0224594359518437,0.0256099575788002,0.0286279012058752,0.0302588404236013,0.032936441480484,0.0349970539153248,0.0334508829402669,0.0314765621286062,0.0232779898701387,0.0129495533891579,0.00547037519526006,-0.0012866379780081,-0.0062156973492955,-0.00815322211078151,-0.00611128775796987,-0.00285144443986252,0.000815735954920793,0.00711811484805369,0.00727673404581575,0.00393836355489263,0.00128977351838389
32,"ARG","Argentina",0.0150133238284413,0.0161016879943228,0.0182595471895945,0.0197265618829097,0.015816890492151,0.0120587729697805,0.00954849558752713,0.00885056864722689,0.00886363109873711,0.00630694529243048,0.00383339712863839,-2.44566953894187e-05,-0.00557808471795018,-0.0103763444219791,-0.0126783472209101,-0.0146497812179935,-0.0180139882274579,-0.0189889153370889,-0.0166800632813234,-0.0135307695400879,-0.00971318867476267,-0.00783048590954805,-0.00748616072003283,-0.00721735895042608,-0.0073686758678082,-0.00670919835391948,-0.00666081894875159,-0.00695961083548646,-0.00525881908636183,-0.00243524673593554,0.00118747883435377,0.00214220683347199,0.000933579200430357,-0.00135223145258623,-0.00115222543906435,0.00242615920682843,0.00606964417953537,0.0107567631153604,0.0138855534190543,0.0160450161698895,0.0151903942427845,0.0128474423419851,0.00717177837467031,-0.00115846497706706,-0.00680334890234835,-0.00865879416706805,-0.00997696313972662,-0.00817398885983889,-0.00620072629410306,-0.00367389870589041,-0.00483116256994065,-0.00776372843462403,-0.00701757814082427,-0.00550499608920318
51,"ARM","Armenia",0.0163421939855595,0.0167571857041946,0.016789294818,0.0170618253624848,0.0178608561973645,0.0181536650657685,0.0189493773654867,0.019854940375128,0.0199278407890795,0.0184712849059427,0.0149175011116878,0.0119362785246633,0.00834002920340771,0.00570954095061271,0.0036639703548409,0.00177370056496495,0.00397719461509616,0.00328508863166976,0.00307028659243236,0.00824047916476656,0.0107305520315724,0.00981226438229843,-0.00389105787145916,-0.0252796316313783,-0.0704371491869308,-0.101336042841913,-0.111633486170342,-0.124694189379781,-0.11942224544178,-0.0990448932464227,-0.0731500491568704,-0.0349447910691478,0.00122026458464974,0.0282428671381967,0.0264011555219463,0.0272537403777882,0.0409609249377281,0.0420335238270786,0.0524018024376074,0.0630901794451895,0.0529339371312121,0.0443560063950248,0.0409598446647434,0.037038096669916,0.0322315310961556,0.026968819889021,0.0254623286215221,0.0265418417862422,0.029512230679249,0.0364207490862929,0.032741140708531,0.0268447643042968,0.0255274271749477,0.025361251103891
533,"ABW","Aruba",0.000809348143812283,0.0182476566277461,0.02606993853647,0.0353418027361552,0.0452855782180217,0.0437344112316345,0.0142365325061444,0.0215599598244494,-0.0020363319455543,-0.0368847586159874,-0.0496109897099878,-0.0491160016064867,-0.0537926369326203,-0.0503673602964978,-0.0708407232759716,-0.041558000814218,-0.0240254538056943,-0.0465317848681112,-0.0437161043732105,-0.0307040502528277,-0.012845197035708,-0.00986021310071195,-0.00476926326339022,0.00749978285483266,-0.0121269573968746,0.0188728370984503,0.0677791047871237,0.0133111980034235,0.00476789222318708,0.014789274263852,0.0270040661411697,0.0801131451875119,0.122265184839853,0.147692839842061,0.170501031066266,0.17755736250238,0.173060361074987,0.150594641226269,0.116187532695369,0.0660234030084452,0.00257229996799446,-0.00498591779385449,-0.0124803958311535,-0.0514168412975765,-0.0991075601675305,-0.131297579156599,-0.147957209390948,-0.154632913312426,-0.147793571949804,-0.133744212831368,-0.107827189354314,-0.0726201175472032,-0.0261753610707963,-0.00529120726534771
36,"AUS","Australia",0.0109993889064208,0.0124638745266488,0.00931644898769068,0.0107314162632937,0.00817037654042552,0.00618661523079966,0.00772685346916457,0.008756695210131,0.00977424702788499,0.00661964245058155,0.00777833366743397,0.0102568382355281,0.00317989400059782,0.00523583677461059,-0.00217111350540755,-0.00809852618853257,-0.00593621648293008,-0.00483922647829771,-0.00526663415922413,-0.00956507427773023,-0.00738919557903206,0.00164282787819969,0.00363750840791432,0.00901806437327624,0.00715537670356903,0.0056211860274904,0.00987982144111954,0.00913144555372303,0.00549284272304029,0.00213225351504676,0.00357024444076637,0.00958507589290902,0.0156788696370829,0.0183938604147988,0.0120611452869823,0.0105052139450141,0.00439217804230041,0.000295824757811314,-0.00511406936058934,-0.0126937882154009,-0.0156658488270636,-0.0184458193569388,-0.00937305297009761,-0.00149708686278871,-0.0100621039605575,-0.0113090412274024,-0.0153823557291654,-0.017486796050794,-0.0150840260229351,-0.0160995796853851,-0.0191290899756,-0.0283878107942535,-0.0259886819206807,-0.0201333301311067
40,"AUT","Austria",0.0293330875528293,0.031173903651923,0.0316223622350555,0.0337382709344916,0.0384587635219396,0.039135209613298,0.0333656401359945,0.0292230683330819,0.0212014118383825,0.0142570097339763,0.0105353939462247,0.00281448045012889,-0.0012940721098893,-0.00451858525760851,-0.0054958386980275,-0.00524660208759153,-0.00728954743094423,-0.00648048786767186,-0.00457263010676634,-0.00461068707305778,-0.00041982713936406,0.00276606795805412,0.00968568352434995,0.00880367653365655,0.00553223454803931,0.00414921743950569,0.00442177114923736,0.00538476309238356,0.00771797720471579,0.0051732443318262,0.000162119943043715,0.000865566693925679,0.00658707822305704,0.0076950994331344,0.0106046305193483,0.0104984501293024,0.0112054340699077,0.0114162966455209,0.00884573408900002,0.0049613026766373,-0.00487042077812427,-0.0108996671914211,-0.0155276435420697,-0.0203677769664946,-0.0198537212173674,-0.021243565023166,-0.0190725371072618,-0.0163119673676516,-0.0126200130869869,-0.01057497532356,-0.011702284928457,-0.0125591401493287,-0.0105236644329575,-0.0132073729705425
31,"AZE","Azerbaijan",0.0203174163557216,0.0206786073234477,0.0201132246267051,0.0199234818451661,0.0206622757695656,0.021113336478241,0.0222628681069121,0.0236335277787663,0.0244496916212054,0.023976842762252,0.0213841759397166,0.0189904858980379,0.0149188747728335,0.0111339266436816,0.00749615143061333,0.00369833994029345,0.003859243351932,0.00558740946992731,0.00355871905617655,0.00303672209260042,0.000975910302178251,0.000107968902868016,-0.00505597494068921,-0.005611628373828,-0.0143875393312074,-0.0291378385327334,-0.0472427464512353,-0.0605889578837616,-0.0727501816619154,-0.0752978599595747,-0.0757349360080691,-0.0688747081433067,-0.0604393290353854,-0.0416462895210403,-0.022581294225074,-0.00534349986412375,0.00518880616580053,0.0124562423703771,0.0152155453533565,0.0244504114175059,0.0209727191032725,0.0157433015685264,0.00962988342424298,0.00465415672660296,0.0014817547146615,8.13861742059441e-05,0.00143642944351341,0.00263951133913176,0.00190713280540611,0.00724384615185092,0.00980088693797798,0.0075271574520499,0.00929332467410338,0.0126653432313935
44,"BHS","Bahamas",0.105549283701983,0.102999308194768,0.153308436780135,0.18989509654596,0.208777577606979,0.221738884082122,0.22996476841815,0.183596009957237,0.171345102161356,0.109213715973817,0.0397483043618376,-0.0106705714441407,-0.06444126206723,-0.118024657132226,-0.152748985858951,-0.180007742122443,-0.195908700196541,-0.211289553480617,-0.191464031971233,-0.170854723562454,-0.123237817537837,-0.0488224646111637,-0.0201635756873385,-0.00346817072818417,0.00486772639715238,0.010579188027074,0.00673775587641701,-0.00343787114123206,-0.0210914401560247,-0.0252433092628314,-0.0178112038434644,-0.00860895967967035,-0.00199161788414381,0.00303943003955398,0.0031788646463875,0.00247570116032736,-0.00106588129687946,-0.00672176614935638,-0.0187876289877196,-0.0189778077058047,-0.0131840569596872,-0.00677817208701958,-0.00555429459382484,-0.00392818531957384,-0.00206709818269002,0.00222532484600269,0.0040558779184916,0.00210647998187108,0.00506918903611453,0.00467102120282736,0.00861190617329588,0.00767425655958776,0.00256933074244059,-0.00382667375705159
48,"BHR","Bahrain",0.00577155479137681,-0.0276683598557629,-0.00691130528543404,0.0077652766631604,0.0127555754314552,0.0329793141578787,0.0330327291827106,-0.000517953901033597,-0.00943314612340207,-0.0168828578566816,-0.0165284474060516,-0.01812529689677,-0.0194447769497891,-0.0227293772712228,-0.0257349460657799,-0.0264473485574247,-0.0304359272924202,-0.030456190614864,-0.0253447009078962,-0.0203714231442322,-0.0164066159988582,-0.014542043524399,-0.0155066920566922,-0.0134465358315755,-0.00634378370467736,-0.00620682075892309,-0.00591822009946441,-0.00169251940011095,-0.00284057993807008,-0.00156631276159647,-0.00111739514391396,-0.00155698503620583,-0.0123979055257195,-0.0238790172651052,-0.0234255361002411,-0.0280264362649317,-0.032470480645053,-0.0369905739776375,-0.0349587266934014,-0.0280404767395974,-0.0220683392223341,-0.0139748155685271,-0.0104421828701513,-0.00698574627027959,0.000679893220467465,0.00406616201282461,0.00544082916162036,-0.00195872497794802,-0.00274151184254878,-0.00177823708777525,0.000527659383127821,0.00156649916932849,0.00295834351811708,0.00326662581029002
50,"BGD","Bangladesh",-0.007073431658706,-0.0047088693441758,-0.00821095740418587,-0.0103012253045683,-0.0114751902605398,-0.0117807511745038,-0.0114481745532201,-0.0121339262822217,-0.0103223554213951,-0.00650449199993075,-0.00133208868652368,-0.00346082455297381,-0.00736224995546497,-0.00977818620437199,-0.013971154119313,-0.0174362834231679,-0.0183288070866757,-0.0177270341685134,-0.0164748958814679,-0.0107991779553579,-0.00248638316600147,-0.000625910665248863,0.000781937836878521,0.0023625723008629,0.00101955991771252,0.00059257003449309,0.00218710824332247,0.00341264845459999,0.00357062782682371,0.00303353084766544,0.00426679936795971,0.00510497848572578,0.00654882985265681,0.00736208864433219,0.00691370033533989,0.00639542289794637,0.00828591973854875,0.0106055140891279,0.0120611783953761,0.0133222572614691,0.0157358219485186,0.01825218042663,0.0209900798920177,0.0226204819588873,0.0220273226918171,0.0205169352964245,0.0195709624837292,0.0184453798819331,0.016748984917716,0.0155947850752953,0.0178947787906569,0.0173822664554357,0.0175156846993072,0.016909805820021
52,"BRB","Barbados",0.0699004416352842,0.0720574311251763,0.0760149511786581,0.0859507021134152,0.0766536382177962,0.058184816714675,0.0413795256920229,0.0243945440307056,0.0171903147970518,0.0193166951753971,0.0213885699170371,0.0217583306327831,0.0238959916193735,0.022869608473185,0.0208352274827446,0.0206138429188789,0.0259631825351758,0.0274184537297371,0.0309171533169637,0.0338613143118058,0.0337117120970714,0.0465223115976083,0.0585359230686688,0.058717619974598,0.04372333682098,0.0332819562858508,0.0283159187375124,0.0251200298020753,0.0256005303333358,0.0225804830673364,0.0199124413965928,0.0285752017615057,0.0366673475619099,0.0404781238377041,0.0308983195356176,0.0211912319166188,0.0140197655846588,0.00621963122650881,0.00410933950845038,0.00902934297668767,0.0120867107768572,0.0130558496463291,0.0126678472911932,0.00660406014238402,0.00170777072146255,-0.00635430414933114,-0.0129968203844987,-0.0187352752660517,-0.024667786559483,-0.0209603847594962,-0.0168854925112579,-0.0291701038231116,-0.0344940312787646,-0.0391184756322874
112,"BLR","Belarus",0.0313283818620391,0.0298652637764854,0.0283327365460344,0.0274829412675917,0.0275624598113127,0.0271535599175894,0.0272234100526434,0.0280455240218436,0.0285849074446132,0.0281007638615762,0.0253411378191826,0.022336777180874,0.0180193224907257,0.0141583961214826,0.0110381983584831,0.00788188643158594,0.00804649722707174,0.012664601582701,0.0129304502069159,0.0134507278474594,0.0104158819648559,0.00544969673517892,-0.00333202738854632,-0.0171833485340384,-0.034353290819309,-0.0546070718111402,-0.0705189224519084,-0.0744052799093224,-0.0748013886284299,-0.0691951236793124,-0.0603283025667458,-0.0501022711084301,-0.0368138066571557,-0.0248934001378917,-0.0144598922312935,-0.00683238312166223,-0.00247027790450693,0.00457133728868664,0.010186437762572,0.017090253602311,0.0204640059301995,0.0213560721059223,0.026767650694598,0.0291903809986007,0.0302139754967212,0.0305273960717927,0.0261508873006286,0.0215234481799416,0.0152383065659698,0.0117393686287957,0.00534904284183702,-0.00247478589903993,-0.00153052258374153,-0.000419497024337079
56,"BEL","Belgium",0.0223664374081554,0.0224470929622771,0.0192475364330598,0.0201267719588689,0.0252867266927332,0.0250786553792923,0.0174305087798043,0.0109669917858866,0.003050532787779,0.00222008545070262,0.00401330179629955,0.00376086935708431,-0.0025521315219309,-0.00777367150845321,-0.0144899992336401,-0.0171207712299651,-0.0242973745616554,-0.0281597448615658,-0.0312224744954895,-0.0307162085492549,-0.0229313881123263,-0.0100164367317838,0.00100778081722708,0.0090884190392535,0.00942915925729526,0.0127552168025675,0.0152064299132353,0.0164148526803167,0.0132638087395205,0.0087161009276433,0.00330941119778316,0.00220285831536327,0.00119710719049992,-0.00015461303631592,-0.00249225714970669,-0.00328973475865479,-0.00483407075210007,-0.00546518862533829,-0.00928141373879965,-0.00993040696086611,-0.016766171511996,-0.0184969807693984,-0.0237379396684503,-0.0277433586352368,-0.0291801222379884,-0.0304056147346761,-0.0285364510138387,-0.0261034497531305,-0.0231942769389223,-0.0180324247330572,-0.0172803466518896,-0.0159755924103658,-0.0149088437492684,-0.0175352813983983
