"code","iso","country","GHI.raw.1990","GHI.raw.1991","GHI.raw.1992","GHI.raw.1993","GHI.raw.1994","GHI.raw.1995","GHI.raw.1996","GHI.raw.1997","GHI.raw.1998","GHI.raw.1999","GHI.raw.2000","GHI.raw.2001","GHI.raw.2002","GHI.raw.2003","GHI.raw.2004","GHI.raw.2005","GHI.raw.2006","GHI.raw.2007","GHI.raw.2008","GHI.raw.2009","GHI.raw.2010","GHI.raw.2011","GHI.raw.2012","GHI.raw.2013","GHI.raw.2014","GHI.raw.2015","GHI.raw.2016","GHI.raw.2017","GHI.raw.2018","GHI.raw.2019","GHI.raw.2020","GHI.raw.2021","GHI.raw.2022"
36,"AUS","Australia",8.22355942068934e-07,8.26613137196055e-07,8.30014793021767e-07,7.97915288825416e-07,7.68170549413821e-07,7.5289259942828e-07,7.35796378824594e-07,7.26283282320268e-07,7.15666569591591e-07,6.90961231362816e-07,6.80493682201853e-07,6.7781323258078e-07,6.57163846920039e-07,6.34613083645994e-07,6.30163390290861e-07,6.1815068916934e-07,6.06315481138503e-07,5.92570027508358e-07,5.74012497602395e-07,5.66381676714599e-07,5.50246936944144e-07,5.38481940631411e-07,5.22189822510367e-07,5.00380583137221e-07,4.8066116635116e-07,4.77993780226069e-07,4.72493400935905e-07,4.6861441857146e-07,4.55651916418864e-07,4.42311595584097e-07,4.27210151892317e-07,4.12178659401971e-07,3.99866267142059e-07
40,"AUT","Austria",2.74287047947537e-07,2.77514047041348e-07,2.50014559299123e-07,2.49765806877544e-07,2.44638590455739e-07,2.48094480209644e-07,2.52201527857809e-07,2.45960158791222e-07,2.35397316038647e-07,2.23154630729195e-07,2.16237946132999e-07,2.23884801346482e-07,2.24876244713738e-07,2.36585537609864e-07,2.29725304545073e-07,2.27599976938075e-07,2.1419991641068e-07,2.00113569819059e-07,1.96007601252921e-07,1.87975399727212e-07,1.95141448968224e-07,1.84808009401641e-07,1.77564514287686e-07,1.7846870227522e-07,1.69462006265549e-07,1.72696257137024e-07,1.71194931089253e-07,1.72319869222018e-07,1.61541877834062e-07,1.61516530492e-07,1.59423432772224e-07,1.59938355715173e-07,1.46240041435541e-07
31,"AZE","Azerbaijan",1.62837294853489e-06,1.59905795143305e-06,1.95086869978692e-06,2.28752341747544e-06,2.56733338142844e-06,2.54501077048806e-06,2.34232862843649e-06,2.09788948913908e-06,1.95447186667321e-06,1.77602968500492e-06,1.59734833657546e-06,1.40386212883793e-06,1.27242182719668e-06,1.18692520424719e-06,1.11323001740962e-06,8.92649536677034e-07,6.84342707353736e-07,5.58237683702264e-07,5.5118271392906e-07,4.64497467107085e-07,4.3758445902773e-07,4.66663164680505e-07,4.79191130764274e-07,4.63337343454565e-07,4.57834769191674e-07,4.62346873721304e-07,4.78756013073877e-07,4.7782714574118e-07,4.904879631962e-07,5.03346853142112e-07,4.68555243668528e-07,4.64347283510787e-07,4.70701799270407e-07
44,"BHS","Bahamas",2.53922869438204e-07,2.65063486545558e-07,2.77067409776473e-07,2.64044929751498e-07,2.55637619724813e-07,2.45603464416734e-07,2.35985847784723e-07,1.9739766917907e-07,2.54764274490051e-07,2.30315735313006e-07,2.21686766295628e-07,2.24157998589548e-07,2.24390531120367e-07,2.01996853669221e-07,2.04789147538072e-07,2.10065263384144e-07,2.07232659794199e-07,2.15069411363176e-07,2.22254935652296e-07,2.3955846652165e-07,2.42368220274013e-07,2.41290557437905e-07,2.38769805252419e-07,2.56860141022036e-07,2.25711017701883e-07,2.12066584466168e-07,2.17851304769924e-07,1.90081590646863e-07,2.41239851628151e-07,2.48462583456019e-07,3.0070462709392e-07,2.55399050158737e-07,2.26972991555925e-07
48,"BHR","Bahrain",9.74653925787149e-07,7.15397521099073e-07,6.41863241219878e-07,7.40941595347305e-07,7.47135582847002e-07,6.9310438699334e-07,6.81165371135203e-07,7.12004910101362e-07,7.00775416162538e-07,6.62842181065804e-07,6.42827767926822e-07,5.21240774948826e-07,5.48368030697132e-07,5.39107951950072e-07,5.37369632194353e-07,5.61627900791901e-07,5.33403790340063e-07,6.40684881270477e-07,6.55354516626689e-07,6.10834861988435e-07,6.02136911153297e-07,5.85888415452185e-07,5.41627157710135e-07,5.80414256823927e-07,5.52893814718221e-07,5.62970070316879e-07,5.32830718568148e-07,5.32675069670289e-07,4.31004423348299e-07,4.20407145425897e-07,4.24248991628675e-07,4.18879312688901e-07,4.17161670982632e-07
50,"BGD","Bangladesh",3.11634988423229e-07,3.05092930296858e-07,2.96272407498028e-07,2.86523230079694e-07,2.85762656758117e-07,3.01908359000371e-07,3.00638201420072e-07,3.03650644086059e-07,2.97276504004328e-07,3.05734525910922e-07,3.03990556077107e-07,3.13357474905216e-07,3.13109803564014e-07,3.10260218709865e-07,3.06892304338547e-07,3.00382031800972e-07,2.98460882401527e-07,2.86963674834783e-07,2.84139355522478e-07,2.8176409871893e-07,2.82219597453567e-07,2.74128683715462e-07,2.68256128157026e-07,2.56311946997754e-07,2.51948875325127e-07,2.50055795301616e-07,2.38578390202133e-07,2.33172768360604e-07,2.28661662723135e-07,2.26027619686165e-07,2.13451768515467e-07,2.07072953023311e-07,2.00580419224782e-07
52,"BRB","Barbados",1.04592454513347e-06,1.21305363985274e-06,1.26597278819244e-06,1.48836843061855e-06,1.27388616391187e-06,1.3022545638819e-06,1.26306407296477e-06,1.23410038374933e-06,1.31816242081674e-06,1.35591492902802e-06,1.29597164766855e-06,1.33768588127047e-06,1.3261692316809e-06,1.32627133380301e-06,1.32430915175264e-06,1.30179238203326e-06,1.23749211025113e-06,1.22743741381219e-06,1.35063127477841e-06,1.41565661063197e-06,1.37164272131401e-06,1.41641870111603e-06,1.39063612092694e-06,1.39472322751307e-06,1.28956516136423e-06,1.26085036560447e-06,1.24213974973854e-06,1.18981776125802e-06,1.22144814251989e-06,1.23209734107752e-06,1.34323518620962e-06,1.35348899325803e-06,1.23875456661954e-06
112,"BLR","Belarus",1.60481919262773e-06,1.5641400225966e-06,1.56249777427712e-06,1.5061912615397e-06,1.46681499736968e-06,1.49411224049001e-06,1.46525655919444e-06,1.31907664225127e-06,1.19979359757623e-06,1.11510868441544e-06,1.01477677203827e-06,9.53483841347975e-07,8.9959908145835e-07,8.58797540008042e-07,8.05905884242384e-07,7.53395419906071e-07,7.10709387168016e-07,6.43002503570224e-07,6.05675250730549e-07,5.92059597479574e-07,5.62276766619137e-07,5.30266090065555e-07,5.27945886227328e-07,5.34383682250106e-07,5.19336083558517e-07,5.11231006219108e-07,5.19744260825477e-07,5.1694459178665e-07,5.17895342553754e-07,5.10745095736424e-07,5.01264268074648e-07,4.99991856013318e-07,5.15809218948761e-07
56,"BEL","Belgium",4.11336755830637e-07,4.11227356889308e-07,4.03450089932213e-07,4.04300261576045e-07,4.05586996609051e-07,4.01435953080838e-07,4.04204800445574e-07,3.69676116313489e-07,3.7456829811825e-07,3.48226058038025e-07,3.38285884219921e-07,3.30329082136664e-07,3.25434746970471e-07,3.21900536954711e-07,3.13560242463573e-07,3.00549200085819e-07,2.87030854669578e-07,2.68735645463929e-07,2.67963175674519e-07,2.49495273574059e-07,2.56718744683652e-07,2.31894808954471e-07,2.24414204880696e-07,2.24876038843445e-07,2.10523265579024e-07,2.13509556488386e-07,2.08301183473748e-07,2.04307578943584e-07,2.01894951738725e-07,1.95460697278675e-07,1.90114444156366e-07,1.84857228166788e-07,1.72582128461375e-07
84,"BLZ","Belize",8.70597909819878e-07,9.16966277022826e-07,8.08360136219425e-07,7.44189188476952e-07,7.01056431563716e-07,6.83098645907843e-07,6.14605542084106e-07,6.41858134376614e-07,6.06806081459959e-07,5.57948087626756e-07,5.17694539799437e-07,5.47927456571243e-07,5.35515074045072e-07,5.10603229540311e-07,4.72783734931762e-07,4.67514856660005e-07,4.81095622693657e-07,4.63401070641618e-07,4.41478117886334e-07,4.71587677293274e-07,4.66799482158185e-07,5.10661031642788e-07,4.33767979810416e-07,4.66556868492731e-07,4.32987507847661e-07,4.89217178166765e-07,4.82849934897452e-07,4.97454758587574e-07,4.88778270030621e-07,5.15912453468393e-07,5.55504151417437e-07,5.20161110983375e-07,4.77986325345983e-07
204,"BEN","Benin",5.1189860717862e-07,5.1781297230297e-07,5.16947008377202e-07,5.10698831153385e-07,5.37001320748332e-07,4.92646333304444e-07,5.29624744757116e-07,5.18692429677594e-07,5.14799374512874e-07,5.09251794172371e-07,5.07885467923796e-07,4.51738959696936e-07,4.87430454183653e-07,4.75784409100374e-07,4.6389577429236e-07,4.9356866556487e-07,5.04659675805775e-07,5.12884372338098e-07,4.79061678898348e-07,4.91809614579217e-07,5.17205053495288e-07,5.08230080731748e-07,4.84299721225806e-07,4.78493075686689e-07,4.6361444997762e-07,4.83604221913524e-07,5.04862667915166e-07,5.00247717728337e-07,4.93613564605709e-07,4.82282892258697e-07,4.66665066310132e-07,4.5570909404169e-07,4.39327913781213e-07
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",6.14728357121043e-07,6.17239386331717e-07,5.75077760322642e-07,5.48884554098007e-07,5.69410539061331e-07,5.87356621492973e-07,5.41047172119589e-07,5.1831293348094e-07,5.11466749970919e-07,5.42009383707186e-07,4.9488194530144e-07,4.61296438574003e-07,4.24899390763253e-07,4.23174667155703e-07,4.06926464544623e-07,3.93104937644055e-07,3.613126012029e-07,3.45411306043736e-07,3.36460019598972e-07,3.1052840892039e-07,3.02253047128282e-07,2.83091315028901e-07,2.83080611967891e-07,2.98129296686464e-07,3.04487749188981e-07,3.23107354851056e-07,3.05805610808917e-07,3.16074304351851e-07,3.3447747664462e-07,2.91583482092376e-07,2.6693183660316e-07,2.93893342695733e-07,-9999
68,"BOL","Bolivia",5.79739326959009e-07,5.83227461118915e-07,6.20522081689843e-07,6.31703826242543e-07,6.6057219169873e-07,8.147505962046e-07,9.6648920996682e-07,1.12742710570722e-06,1.23093128433653e-06,1.15470787151377e-06,1.07730814243891e-06,8.71115793621128e-07,7.60625072523786e-07,8.84517439074335e-07,9.90979177363489e-07,8.9353830709322e-07,8.11936657116916e-07,8.13192210838358e-07,8.43211765282735e-07,8.42579473661828e-07,9.28889105664468e-07,9.06518535653046e-07,9.28069295096425e-07,8.89761268413909e-07,8.81269375061695e-07,8.62205826005758e-07,8.63382987657219e-07,8.8388074146864e-07,8.52873161256711e-07,8.70920673416064e-07,9.56128353402763e-07,9.67797171980039e-07,9.62373355321068e-07
70,"BIH","Bosnia and Herzegovina",-9999,-9999,-9999,-9999,7.90433066981955e-07,6.54539316483556e-07,5.52727679876883e-07,5.56286873041323e-07,6.73309352054486e-07,6.52357750266915e-07,6.12411655249088e-07,6.17213638515286e-07,5.97167556286148e-07,5.78241315052466e-07,5.94424077329945e-07,5.38024192882502e-07,5.69696872537835e-07,5.5233636108754e-07,5.44603477210881e-07,6.46383998295362e-07,6.89035079746499e-07,7.38503650704364e-07,5.91429156791853e-07,6.31291707689428e-07,6.61591931970781e-07,6.09597674304171e-07,6.62434048290376e-07,6.50361845265289e-07,6.26590555388393e-07,6.12399613507285e-07,6.23473348173971e-07,5.77455620033302e-07,5.56489164340144e-07
72,"BWA","Botswana",1.09113462526883e-06,9.69669056613852e-07,9.29203235674007e-07,9.18493752490871e-07,9.07561544875996e-07,8.97426637514281e-07,9.19339445991768e-07,8.12641210027046e-07,7.84122549558887e-07,6.93104616585219e-07,6.90184927266691e-07,7.97679333354676e-07,7.72852560001373e-07,4.14218934816146e-07,4.31720984814235e-07,4.71371430070078e-07,5.16846875111856e-07,4.19080154851618e-07,7.28185470369562e-07,4.51336436790661e-07,8.66552523386052e-07,9.45236290891159e-07,5.60088793209245e-07,4.92511233590841e-07,4.18873176984586e-07,4.24306485862046e-07,4.03493698954468e-07,4.97210147041294e-07,4.29591324513432e-07,3.55509721318404e-07,4.47010667048868e-07,4.1984205763809e-07,3.61078611971378e-07
