"code","iso","country","CDA.raw.1999","CDA.raw.2000","CDA.raw.2001","CDA.raw.2002","CDA.raw.2003","CDA.raw.2004","CDA.raw.2005","CDA.raw.2006","CDA.raw.2007","CDA.raw.2008","CDA.raw.2009","CDA.raw.2010","CDA.raw.2011","CDA.raw.2012","CDA.raw.2013","CDA.raw.2014","CDA.raw.2015","CDA.raw.2016","CDA.raw.2017","CDA.raw.2018","CDA.raw.2019","CDA.raw.2020","CDA.raw.2021","CDA.raw.2022"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.216090604577498,0.199824979861715,0.191407223156475,0.172040111587725,0.148532838457441,0.12092757533037,0.0963743691071006,0.0755518271070599,0.0620250270933109,0.0541970022966523,0.0431486082856016,-9999
8,"ALB","Albania",0.00514074337227655,-0.00443315280735641,0.0223878037539833,0.02436266641255,0.0238453152663867,0.0282128593682114,0.0278126464582404,0.0211296474716709,0.0175436321447946,0.0233788100393895,0.0377982574490472,0.0267491971822207,0.0247323269042421,0.0192780291997368,0.0154595835713962,0.0174687600115899,0.0166643790161651,0.0123929474774025,0.0168118844736094,0.0209166958808973,0.0291071095310937,0.0324138910815044,0.0335546544305838,0.0297480905524332
12,"DZA","Algeria",0.0301032103306675,0.0234387367353994,0.0135733710516543,0.00339220243233518,-0.00264716758981683,-0.0119884262911095,0.00087418965562347,0.00738049552113829,0.0113686008796317,0.0261982838331223,0.0361065762851875,0.0403119838446504,0.0374459603711768,0.0384177273531208,0.0420362145991098,0.0422722314928978,0.0518622649571692,0.0513231553019124,0.0519392073851261,0.0505151746120145,0.0514911258282362,0.0422630495671263,0.0328450475120796,0.0225114151731147
20,"AND","Andorra",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.000407301442008863,-0.000833501140035412,-0.000579284956035766,-0.00173879896846803
24,"AGO","Angola",0.0727530256024349,0.0637742752818278,0.0511684149111724,0.0369479167330944,0.0261274063864483,-0.0150434601585959,-0.0171902098644077,-0.00161689319985991,6.82384305954464e-05,0.00657170880308078,0.0204524100812065,0.033129104503133,0.0436362886707689,0.0539866084658001,0.0649216346853747,0.0855678710651724,0.0761807927455962,0.0682124006311884,0.0560961561078801,0.0346137676602654,0.0143845058371879,-0.0010218409162801,-0.0036186831533204,-0.00344446799906542
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0.0291048898034318,0.0379369789547481,0.0421904284572465,0.0473669346565988,0.0530750766315706,0.0551356984544566,0.0538151634329309,0.0519581589021398,0.0521719722057825,0.051560619832177,0.0513022244136212,0.0485944225786363,0.0400880502550371,0.0357955152217126,0.0322014301888733,0.0281200083102109,0.0246715915503617,0.0212876233456587,0.0185563925434264,0.0165641825170266,0.0175561779804763,0.0133259648824846,0.0065428110849135,0.00260374898257121
32,"ARG","Argentina",0.0430341729748878,0.0393602592457358,0.0333513717123426,0.0226637546737813,0.0158265889736984,0.0141346145629857,0.0119689966095013,0.0180027881917093,0.0263696413085184,0.0361740048654058,0.0391038249353386,0.0432017147976562,0.0449026028936821,0.0373005823289565,0.0311759216490348,0.0257843319044733,0.0207429775364194,0.0160680836759153,0.013098089871866,0.0103160666748574,-0.000558359086287279,-0.00478824297108635,-0.00410342771772046,-0.00271228205492568
51,"ARM","Armenia",-0.169178576861309,-0.249863216152206,-0.328241904116973,-0.28710402469286,-0.280563323032253,-0.235326722750277,-0.143873494342895,-0.0806000515971246,-0.00761874997062515,0.0447260953713138,0.0648199454315275,0.0607676160262884,0.0623977252713923,0.0571129482249186,0.0468853869927843,0.0348450310286981,0.0233903000441973,0.0107216979680473,0.0106917756409528,0.028943255435782,0.0281073873507747,0.0233022806586427,0.0275473991874919,0.0362343021301093
533,"ABW","Aruba",0.0598088021036118,0.113960239402002,0.156199209293619,0.180162696743719,0.200910755628953,0.204602147309668,0.196478865291713,0.170903274805413,0.133612269518433,0.0808640567730368,0.0155286966792603,0.00785214200451256,0.000206313564554028,-0.0100386173125483,-0.0317374043372315,-0.0562006731092627,-0.0995472829603498,-0.145689891746344,-0.178940566160954,-0.196874897790866,-0.132143720574605,-0.0674594022053442,-0.0155356016058,-9999
