"code","iso","country","PSE.raw.1961","PSE.raw.1962","PSE.raw.1963","PSE.raw.1964","PSE.raw.1965","PSE.raw.1966","PSE.raw.1967","PSE.raw.1968","PSE.raw.1969","PSE.raw.1970","PSE.raw.1971","PSE.raw.1972","PSE.raw.1973","PSE.raw.1974","PSE.raw.1975","PSE.raw.1976","PSE.raw.1977","PSE.raw.1978","PSE.raw.1979","PSE.raw.1980","PSE.raw.1981","PSE.raw.1982","PSE.raw.1983","PSE.raw.1984","PSE.raw.1985","PSE.raw.1986","PSE.raw.1987","PSE.raw.1988","PSE.raw.1989","PSE.raw.1990","PSE.raw.1991","PSE.raw.1992","PSE.raw.1993","PSE.raw.1994","PSE.raw.1995","PSE.raw.1996","PSE.raw.1997","PSE.raw.1998","PSE.raw.1999","PSE.raw.2000","PSE.raw.2001","PSE.raw.2002","PSE.raw.2003","PSE.raw.2004","PSE.raw.2005","PSE.raw.2006","PSE.raw.2007","PSE.raw.2008","PSE.raw.2009","PSE.raw.2010","PSE.raw.2011","PSE.raw.2012","PSE.raw.2013","PSE.raw.2014","PSE.raw.2015","PSE.raw.2016","PSE.raw.2017","PSE.raw.2018","PSE.raw.2019","PSE.raw.2020"
4,"AFG","Afghanistan",1.66946078826469,1.67739102666454,1.53639846743295,1.60966399506782,1.5888340068852,1.37926407232149,1.46613738350017,1.46468376527461,1.47322183900566,1.22301847161302,1.07100626014375,1.24699867884428,1.58114222018228,1.41482649842271,1.40900227494313,1.21421178164799,1.04106490342788,1.08807038730268,1.09219212383337,1.12626262626263,1.04589441410367,0.998801246703429,0.874594173412406,0.907232704402516,0.907787186138711,1.06472919418758,0.840173359278259,1.36135195889531,1.29939729597654,1.61419818297063,1.31463683630061,1.1811698657158,1.64570552147239,1.72575608885717,1.76159816546128,1.63607059392376,1.70877781164279,1.70727567886659,1.36547010815473,1.05612838204512,1.16663993584603,1.66821808510638,1.65167377536513,1.23950661637028,1.84078775655475,1.70614431392797,2.32580759673411,1.42674569364697,2.18419492530235,1.77640502602387,1.28052758473975,2.12907942449409,2.0927613334088,2.03606418471641,1.55406080988956,1.52970119878332,1.07905180355751,1.0552920071756,1.20479098168154,1.28287606433302
8,"ALB","Albania",0.337137259282811,0.378294210517185,0.380546731689857,0.437712604578468,0.330476855843268,0.40398752934837,0.380970024047872,0.265786854062152,0.254433913850007,0.241966803828194,0.258286688102288,0.262635474673778,0.29062424095215,0.263581049857087,0.262398924663432,0.321697628048395,0.353231505543196,0.322816867292695,0.35442723660977,0.336803361859361,0.545161411835612,0.274985544796493,0.34381261521199,0.390894452903433,0.391371317703165,0.385536460976966,0.300737910822692,0.280518215020102,0.311235700836379,0.250511602618801,0.258929042121356,0.246186821182069,0.459037870318614,0.340955587901879,0.361883869198602,0.312393732229912,0.378300671120943,0.328796518060131,0.304330826675703,0.316823120190396,0.283101893597836,0.230518233207438,0.210330166648209,0.230579617302175,0.214039476494097,0.242193344743126,0.245168069514466,0.325281840124947,0.347710811496103,0.342994486073802,0.327927591859974,0.367629377099796,0.357929476985049,0.348706892457902,0.331446691450486,0.299771623508531,0.345829500851494,0.445661572256496,0.395556058060904,0.393443180878942
12,"DZA","Algeria",0.672913014568095,1.09909228441755,1.35193405199746,0.997460535346603,1.4461157317289,0.612806858033511,0.90202872983871,0.992648242554333,0.676426522837207,0.507134433962264,0.322533346909683,0.330016613695464,0.250379334244984,0.309226044772798,0.47327136066687,0.343497861966217,0.212806259007618,0.244630782826726,0.278259463610825,0.245476849792674,0.347946810126033,0.327303139475039,0.260792138688637,0.221477575351405,0.263983595216919,0.302611272300759,0.266376674930417,0.304906296062329,0.524396974320683,0.608218948778038,1.17416810925178,1.15784201488266,0.655451823146028,0.474584026622296,1.39021259526675,3.45264145045327,0.586551708812942,1.02430307362402,1.14102417883212,0.714673913043478,0.994691943127962,0.990789978619593,2.16534804384118,1.23430806481654,1.35656364394606,1.59561273127979,1.06918789808917,1.4142637023993,1.33740012598216,1.60710064551323,1.70604407047944,1.23409422049539,1.05133776993073,0.807865757734662,1.05638070637326,1.13133609736525,1.16855024574459,1.38982842836455,1.34699505971509,1.20141709540572
20,"AND","Andorra",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
24,"AGO","Angola",4.76273735664599,4.88341727289685,4.62545061283345,4.48379473328832,4.48383409536251,4.45364922881221,4.40249537892791,3.58911260253542,3.24353312302839,2.97799885211402,1.93980143270077,2.06192580124833,2.30728735805069,2.64913692871836,3.01716589861751,3.09076032225579,1.21800947867299,1.44122301702855,1.7426798356787,1.41294387170676,1.1763874614594,1.50455506751261,1.24482667721102,1.41858272285486,1.02263467632413,1.38407857327475,1.49413201275354,1.11441798941799,1.02464170134073,1.23151904439937,1.65048063330506,1.70581138145988,1.67966366040551,1.82592896495135,2.17684382888722,2.39997092177959,2.22615862916637,2.98946144341885,2.91899927483684,3.85347985347985,4.60615748140941,5.15195947747267,5.08820633983068,4.91015212338897,5.83571769194087,5.42184130494885,5.11166119307877,4.49018707198931,5.12061591103507,4.44754034678815,3.48746360881706,2.97799298955661,4.31132518796993,2.52016471664815,2.5907649040191,2.75475374588457,2.34611841554309,2.72020835871817,2.43552324347272,2.3353991009921
660,"AIA","Anguilla",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
28,"ATG","Antigua and Barbuda",1.91381107944672,1.94609760916815,2.47729220222794,2.26080390123187,1.24672646664605,0.843156986774008,0.576193533831977,0.246858711458963,0.452966661771185,0.474273337822835,1.02432214331827,0.210532180233306,0.208488140688925,0.196532330733617,0.239250204450566,0.22790294627383,0.202740881712413,0.184991068118238,0.156245335456219,0.134739718505057,0.153097501501926,0.154848690199944,0.127234258406418,0.117040297070554,0.153910342589588,0.142466428863088,0.145232243699874,0.146823160235807,0.127478545157336,0.135791032183889,0.12086071474391,0.122687777289543,0.121279893554529,0.120874150092589,0.114694756527776,0.131769226476614,0.131856358603,0.12799153977608,0.115304421757232,0.129895467209195,0.125934381559082,0.130707029425502,0.119713706778221,0.136977468666232,0.113791823532531,0.120719683775311,0.145674158267946,0.145503433440887,0.13907124701773,0.178188583409621,0.168579693055991,0.163979988882713,0.169277988623519,0.170694947851172,0.172566577617261,0.171001318898198,0.166168514949207,0.166015606615398,0.148762533752988,0.126460414600518
32,"ARG","Argentina",2.1405013870338,2.43949854651163,2.76390127862028,2.96465720360899,2.13354392462284,2.05186131028386,2.21916063970663,1.83614319908419,1.82690244016237,2.06255164034022,2.17057065741276,1.80589109830886,2.33113705731311,2.50188525425456,2.38408644400786,2.40093091174592,2.70176630434783,3.09052224371373,2.54868010218564,2.17866004962779,3.07882862142002,3.3292295813315,3.03854790419162,3.55413654270748,3.15983728124073,3.12794684954994,2.63386303137856,3.43948017028904,2.99661428066097,3.73903976962415,3.99841576315659,3.36338233507472,2.76160990712074,2.1989829041333,2.19021792003113,1.47082813150229,1.67684093885363,2.01952833039136,1.8726730140685,2.05410444682782,2.28658526483209,2.60296835924758,2.13587273134663,1.57189781913205,2.07223587917832,1.76133214827208,1.67354030252685,2.53829342305939,1.96065638592329,1.92731927821538,1.81765125038173,1.82774983776768,2.06017477820194,2.27519271104699,3.12224655819775,2.12485669619594,2.41772179651615,1.80301589188761,2.1861631778173,1.79077932861492
51,"ARM","Armenia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.518265486248669,1.16977231786906,1.13141882102959,1.2618008044831,1.59635806018785,1.54888324194196,2.11366671612999,1.98133061778683,1.81388257470755,2.88680834521187,3.17185385656292,2.62650602409639,2.19437340153453,3.48919170021679,2.16785822172994,3.08976424073803,3.93775775648753,3.87287857938536,2.83139366568236,3.31700241740532,3.92135747133128,3.25587535165549,2.415817873166,2.92597988699762,2.95617667356798,2.23685075608152,2.05754650536521,1.33775985538483,1.42693864335438
533,"ABW","Aruba",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
36,"AUS","Australia",0.211987813943997,0.264387624238538,0.258669013407482,0.2161448687421,0.147985372563492,0.237984569845817,0.167064343965385,0.283513980076975,0.235312246098675,0.236883977418863,0.238552406884694,0.15638014039164,0.208704041161968,0.388012783963029,0.441224043715847,0.315160310343659,0.254875370594049,0.381274580759542,0.348141468449768,0.277413974176809,0.397397962196314,0.283088898238865,0.55731633597833,0.517140380261419,0.526470456879996,0.502474317997847,0.365198617145778,0.416416461466256,0.441665570319695,0.587404350586427,0.460993012245138,0.510734076257814,0.543056481009681,0.300718479381889,0.460007113565989,0.561422432642019,0.475910958073108,0.543214887519526,0.58944099378882,0.528768769536619,0.498796177400237,0.562712066984947,0.333539476396619,0.570007511460242,0.559191103360715,0.616894561370012,0.320620187743909,0.502499956897295,0.801343443204076,0.655761642037946,0.753379245444435,0.875041355124727,0.773510738143875,0.728949803978661,0.660661370192071,0.667502581501696,0.868994697160325,0.685961285472655,0.546587779648317,0.493405326064164
40,"AUT","Austria",0.199488107161065,0.18461051604269,0.177115099236406,0.184274294196518,0.145054277689213,0.192874244471771,0.190619452452726,0.222386149525401,0.198741106807701,0.20343379258184,0.204065928310416,0.205050132514517,0.226197770895782,0.285579396346824,0.285945360657439,0.292383389388021,0.268394664648567,0.288807771280364,0.249645769955341,0.296502569048988,0.287919070599452,0.346932030244939,0.311773000814305,0.330401252897986,0.3420481697946,0.355480978172331,0.37172661703896,0.395442491911438,0.40411578595281,0.403449836077176,0.406560442966489,0.387985113723659,0.39345622323038,0.438110061731652,0.449207604778071,0.425159448930212,0.470429436318933,0.471813414972232,0.503141940687663,0.474156379674818,0.521873068443616,0.518416653902759,0.488789742975762,0.628592034734328,0.610583292327492,0.570153966428715,0.575565178415982,0.725260518994703,0.768039414761499,0.647359639777273,0.710481496937774,0.618429249681741,0.597270444038767,0.713271668124546,0.638345234423805,0.729152385720337,0.663188380428772,0.655608062105446,0.703544063191353,0.747268964853463
31,"AZE","Azerbaijan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.44263428666261,1.55764548117302,1.705476571044,1.87614702154626,2.45813723061679,2.09429613981179,1.87906656656657,2.49742446375029,3.34670373312153,4.14502164502164,4.46573593936976,4.80742418961311,4.95127668480536,4.16652461810791,4.13598209289312,4.11615526802218,3.29757730315588,3.76329265635215,2.94242810760668,3.19022623484332,2.8800489061613,2.31720988166909,1.36709422792304,1.90979313573456,1.92577529232333,2.24947804580349,1.95381896225224,1.12834730682591,1.37374469232325
